rxn	name	ec	chem_class	dg_eq	dg_dgp	dgp_uncertainty	eq_uncertainty	absdiff
rxn16563	threo-3-hydroxy-D-aspartate glyoxylate-lyase (glycine-forming)	4.1.3.41	C-C bond: aldol / Claisen	0.8400	-3.3000	13.6800	0.6530	4.1400
rxn26135	Lysine 2,3-aminomutase	5.4.3.-	Isomerisation / rearrangement	-0.5000	-4.6500	11.1200	0.3866	4.1500
rxn01331	D-erythrose 4-phosphate:NAD+ oxidoreductase	1.2.1.72	Redox: carbon, hydride transfer	-11.0200	-6.8600	8.0800	0.5286	4.1600
rxn01880	(5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate:NAD+15-oxidoreductase	1.1.1.141	Redox: carbon, hydride transfer	4.4600	0.2700	1.0000	0.2357	4.1900
rxn01941	(5Z,13E)-(15S)-9alpha,11alpha,15-Trihydroxyprosta-5,13-dienoate:NAD+ 15-oxidoreductase	1.1.1.141;1.1.1.196	Redox: carbon, hydride transfer	4.4600	0.2700	1.0000	0.2357	4.1900
rxn58660			Redox: carbon, hydride transfer	4.4600	0.2700	1.0000	0.2357	4.1900
rxn19879	H2SOXIREDPYRO-RXN.c	1.97.1.3	Other / unclassified	-11.3800	-7.1800	1.5000	0.9910	4.2000
rxn19880	H2SOXIREDPYRO-RXN.e	1.97.1.3	Other / unclassified	-11.3800	-7.1800	1.5000	0.9910	4.2000
rxn09476	acyl-CoA oxidase	1.3.3.6	Redox: O2 as terminal acceptor	-16.8300	-21.0400	7.7300	1.1000	4.2100
rxn35691	acyl-CoA oxidase	1.3.3.6	Redox: O2 as terminal acceptor	-16.8300	-21.0400	7.7300	1.1000	4.2100
rxn15103	alpha-D-Glucose-1-phosphate:alpha-D-glucose-1-phosphate 4-alpha-D-glucosyltransferase (dephosphorylating)	2.4.1.139	Other / unclassified	-9.1200	-4.8700	1.0100	0.7530	4.2500
rxn00703	alpha-D-Glucose-1-phosphate:alpha-D-glucose-1-phosphate 4-alpha-D-glucosyltransferase (dephosphorylating)	2.4.1.139	Other / unclassified	-9.1200	-4.8700	1.0100	0.7530	4.2500
rxn15568	alpha-D-glucose-1-phosphate:alpha-D-glucose-1-phosphate 4-alpha-D-glucosyltransferase	2.4.1.139	Other / unclassified	-9.1200	-4.8700	1.0100	0.7530	4.2500
rxn01053	(S)-lactaldehyde:NAD+ oxidoreductase	1.2.1.-;1.2.1.21;1.2.1.22	Redox: carbon, hydride transfer	-11.1000	-6.8300	4.8500	0.4754	4.2700
rxn30087	Aldehyde dehydrogenase 5, mitochondrial	1.2.1.-;1.2.1.21;1.2.1.22	Redox: carbon, hydride transfer	-11.1000	-6.8300	4.8500	0.4754	4.2700
rxn36645	aldehyde dehydrogenase [NAD(P)+]	1.2.1.5	Redox: carbon, hydride transfer	-10.3600	-6.0900	4.8800	0.6799	4.2700
rxn36500	aldehyde dehydrogenase [NAD(P)+]	1.2.1.5	Redox: carbon, hydride transfer	-9.7100	-5.4400	11.3800	0.3535	4.2700
rxn01273	(R)-Lactaldehyde:NAD+ 2-oxidoreductase	1.2.1.23	Redox: carbon, hydride transfer	-8.9800	-4.7000	11.3900	0.6007	4.2800
rxn08254	RXN0-3601.c	2.8.3.-;2.8.3.21	Other / unclassified	0.1700	4.4500	8.8900	0.3289	4.2800
rxn33559	(R)-Lactaldehyde:NAD+ 2-oxidoreductase	1.2.1.23	Redox: carbon, hydride transfer	-8.9800	-4.7000	11.3900	0.6007	4.2800
rxn43946			Other / unclassified	0.9900	-3.3000	6.4000	0.1699	4.2900
rxn54093	56424		Hydrolysis	-4.3700	-8.6800	13.6900	0.6327	4.3100
rxn21329	RXN-11035.c	1.1.1.4	Redox: carbon, hydride transfer	4.0600	-0.2500	13.8500	0.2744	4.3100
rxn43934	D-glucuronate dehydrogenase	1.1.1.203	Redox: carbon, hydride transfer	-3.6500	-7.9600	7.9400	0.4543	4.3100
rxn41104		3.1.1.y	Hydrolysis	-8.9500	-13.2800	14.1700	0.5500	4.3300
rxn48814	13157		Redox: carbon, hydride transfer	9.3100	13.6500	8.4100	0.9152	4.3400
rxn01284	D-Glycerate:NADP+ oxidoreductase (carboxylating)	1.1.1.92	Redox: carbon, hydride transfer	9.3100	13.6500	8.4100	0.9152	4.3400
rxn28167	RXN-10949.d.araexp.CPD-6702	3.1.3.25	Hydrolysis	-5.5200	-9.8800	12.9500	0.3379	4.3600
rxn21254	RXN-10954.c	3.1.3.25	Hydrolysis	-5.5200	-9.8800	12.9500	0.3379	4.3600
rxn00740	O-Succinyl-L-homoserine succinate-lyase (deaminating; 2-oxobutanoate-forming)	2.5.1.48;4.3.1.-	Addition / elimination	-14.0700	-18.4500	12.5800	1.1271	4.3800
rxn27994	METBALT-RXN.d	2.5.1.48;4.3.1.-	Addition / elimination	14.0700	18.4500	12.5800	1.1271	4.3800
rxn34665	O-Succinyl-L-homoserine succinate-lyase (deaminating;2-oxobutanoate-forming)	2.5.1.48;4.3.1.-	Addition / elimination	-14.0700	-18.4500	12.5800	1.1271	4.3800
rxn30320	O-Succinyl-L-homoserine succinate-lyase (adding cysteine)	2.5.1.48;4.3.1.-	Addition / elimination	-14.0700	-18.4500	12.5800	1.1271	4.3800
rxn24744	RXN-8277.c	2.4.1.-	Other / unclassified	0.6900	-3.7000	5.7100	0.2639	4.3900
rxn00335	erythro-3-hydroxy-Ls-aspartate glyoxylate-lyase (glycine-forming)	4.1.3.14	C-C bond: aldol / Claisen	0.8400	-3.6000	13.4900	0.6530	4.4400
rxn00344	Acetyl-CoA:L-aspartate N-acetyltransferase	2.3.1.17	Redox: heteroatom (S)	-4.8900	-0.4300	13.2100	0.5932	4.4600
rxn22131	farnesyl monophosphate phosphatase	3.1.3.-	Hydrolysis	-3.5900	0.8800	12.1800	0.2980	4.4700
rxn43556			Other / unclassified	-3.5900	0.8800	12.1800	0.2980	4.4700
rxn56444	68016		Other / unclassified	-3.5900	0.8800	12.1800	0.2980	4.4700
rxn00697	ADP-glucose Glucose-1-phosphohydrolase	3.6.1.21	Group transfer: phosphoryl	-4.7400	-9.2200	0.9100	0.4899	4.4800
rxn33331	ADP-glucose Glucose-1-phosphohydrolase	3.6.1.21	Group transfer: phosphoryl	-4.7400	-9.2200	0.9100	0.4899	4.4800
rxn00406	arginine racemase	5.1.1.9	Isomerisation / rearrangement	4.3100	-0.2000	1.0600	1.2613	4.5100
rxn51846	44056		Redox: heteroatom (S)	0.4200	4.9500	14.0800	0.5406	4.5300
rxn46285		5.4.3.-	Isomerisation / rearrangement	4.3100	-0.2500	11.8800	1.2613	4.5600
rxn22822	RXN-12362.c	2.3.1.84	Redox: heteroatom (S)	0.7700	-3.7900	11.1000	0.8165	4.5600
rxn45339			Hydrolysis	-4.8600	-9.4400	11.2600	0.5450	4.5800
rxn15743	D-Galactose:NAD+ 1-oxidoreductase	1.1.1.121	Redox: carbon, hydride transfer	-4.9400	-9.5400	7.9700	0.5842	4.6000
rxn30500	nmn hydrolysis	3.1.3.5	Hydrolysis	1.2300	-3.3800	0.8700	1.2207	4.6100
rxn01670	Nicotinamide ribonucleotide phosphohydrolase	3.1.3.5	Hydrolysis	1.2300	-3.3800	0.8700	1.2207	4.6100
rxn30860	RXN-5841	3.1.3.5	Hydrolysis	1.2300	-3.3800	0.8700	1.2207	4.6100
rxn24118	RXN-5841.p	3.1.3.5	Hydrolysis	1.2300	-3.3800	0.8700	1.2207	4.6100
rxn17767	3'-nucleotidase (UMP) (periplasm)	3.1.3.6	Hydrolysis	-3.4600	-8.1200	1.2300	0.4496	4.6600
rxn01367	Uridine 3'-monophosphate phosphohydrolase	3.1.3.6	Hydrolysis	-3.4600	-8.1200	1.2300	0.4496	4.6600
rxn12773	3-hydroxyadipyl-CoA dehydrogenase		Other / unclassified	12.9700	8.3100	3.0100	0.7275	4.6600
rxn01202	4-hydroxy-2-oxo-heptandioate succinate semialdehyde-lyase (pyruvate-forming)	4.1.2.-;4.1.2.52	C-C bond: aldol / Claisen	1.9200	6.5800	9.3900	0.4509	4.6600
rxn05887	Hydrogen:NAD+ oxidoreductase	1.12.1.2;1.12.1.5	Redox: carbon, hydride transfer	-8.5000	-3.8300	0.8800	0.7130	4.6700
rxn01304	Succinyl-CoA:L-homoserine O-succinyltransferase	2.3.1.46	Redox: heteroatom (S)	-7.1600	-2.4600	12.5000	1.3033	4.7000
rxn33981	Homoserine O-Succinyltransferase	2.3.1.46	Redox: heteroatom (S)	-7.1600	-2.4600	12.5000	1.3033	4.7000
rxn40028	mycophenolic acid O-acyl-glucuronide-ester hydrolase	3.1.1.93	Hydrolysis	-6.3500	-11.0600	11.6500	0.6554	4.7100
rxn32810	3'(2'),5'-bisphosphate nucleotidase	3.1.3.7	Group transfer: phosphoryl	-1.9200	-6.6400	1.2300	0.7471	4.7200
rxn11357	3'(2'),5'-BISPHOSPHATE-NUCLEOTIDASE-RXN	3.1.3.7	Group transfer: phosphoryl	-1.9200	-6.6400	1.2300	0.7471	4.7200
rxn00137	Adenosine 3',5'-bisphosphate 3'-phosphohydrolase	3.1.3.7	Group transfer: phosphoryl	-1.9200	-6.6400	1.2300	0.7471	4.7200
rxn12637	RXN0-6987.c	3.4.13.18	Hydrolysis	-1.3700	-6.1000	12.8500	0.8643	4.7300
