compound	name	formula	charge	n_reactions	offset	abs_offset	mass	eq_uncertainty	heavy_atoms	n_rings	n_arom_atoms	n_conj_bonds	frac_conj	n_stereo	n_rotatable	logp	n_distinct_r1_frags	frag_failures
cpd02120	Dihydrodipicolinate	C7H5NO4	-2	8	12.9130	12.9130	167.0000	1.0673	12	1	0	8	0.6667	1	2	-2.7443	9	0
cpd00327	strcoa	C39H66N7O17P3S	-4	51	-12.9130	12.9130	1030.0000	2.6166	67	3	9	15	0.2174	7	35	2.3982	31	0
cpd00309	XAN	C5H4N4O2	0	17	-12.8940	12.8940	152.0000	0.8486	11	2	9	12	1.0000	0	0	-0.2359	8	0
cpd00834	Phosphopantetheine	C11H21N2O7PS	-2	5	-12.8480	12.8480	357.0000	1.4628	22	0	0	4	0.1905	1	10	-2.2289	16	0
cpd00367	Cytidine	C9H13N3O5	0	16	-12.8420	12.8420	243.0000	0.9516	17	2	6	8	0.4444	4	2	-2.5630	15	0
cpd00274	Citrulline	C6H13N3O3	0	24	-12.8370	12.8370	175.0000	1.0599	12	0	0	5	0.4545	1	5	-3.2047	10	0
cpd26313	2-mono-C18:1	C21H40O4	0	17	12.7890	12.7890	370.0000	1.5501	25	0	0	2	0.0833	0	18	4.9203	9	0
cpd03481	2-phenylethanol	C8H10O	0	11	12.7880	12.7880	122.0000	0.6171	9	1	6	6	0.6667	0	2	1.2214	5	0
cpd00452	Phenylacetyl-CoA	C29H38N7O17P3S	-4	13	12.7550	12.7550	882.0000	2.0368	57	4	15	21	0.3500	7	21	-2.6206	34	0
cpd00207	Guanine	C5H5N5O	0	14	-12.7520	12.7520	151.0000	16172.5316	11	2	9	12	1.0000	0	0	-0.7716	9	0
cpd00160	Cholesterol	C27H46O	0	49	-12.7220	12.7220	386.0000	56448.9962	28	4	0	0	0.0000	8	5	7.3887	10	0
cpd25363	4alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol	C28H48O2	0	12	-12.7210	12.7210	416.0000	56449.2843	30	4	0	0	0.0000	8	6	6.7512	11	0
