rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon	dgp_uncertainty	eq_uncertainty
rxn24391	3-hydroxystearoyl-dehydratase	4.2.1.-;4.2.1.119	-0.100	-1.580	1.480	1.480	(1) (3R)-3-hydroxy-stearoyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-Octadecenoyl-CoA[0]	h2o	0.000	0.000	3	39	12.580	0.357
rxn28227	RXN-13444.c	4.2.1.-	-0.100	-1.580	1.480	1.480	(1) 3-hydroxy-docosapentaenoyl-CoA[0] <=> (1) H2O[0] + (1) docosapentaenoyl-2-enoyl-CoA[0]	h2o	0.000	0.000	3	43	12.580	0.357
rxn51844	44024		-0.100	-1.580	1.480	1.480	(1) (3R)-3-hydroxydodecanoyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-Dodecenoyl-CoA[0]	h2o	0.000	0.000	3	33	12.580	0.357
rxn52335	46720		-0.100	-1.580	1.480	1.480	(1) (3R)-3-hydroxyhexanoyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-Hexenoyl-CoA[0]	h2o	0.000	0.000	3	27	12.580	0.513
rxn48634	10636		4.910	3.430	1.480	1.480	(1) NADP[0] + (1) D-Mannonate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) aldehydo-D-mannuronate[0]	h;nadp;nadph	1.000	8.000	5	21	1.080	0.247
rxn22099	3-hydroxy-lignoceroyl-CoA dehydratase	4.2.1.-;4.2.1.119	-0.100	-1.580	1.480	1.480	(1) (3R)-3-hydroxy-lignoceroyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-lignocerenoyl-CoA[0]	h2o	0.000	0.000	3	45	12.580	0.357
rxn22100	3-hydroxy-cerotoyl-CoA dehydratase	4.2.1.-;4.2.1.119	-0.100	-1.580	1.480	1.480	(1) (3R)-3-hydroxy-cerotoyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-cerotenoyl-CoA[0]	h2o	0.000	0.000	3	47	12.580	0.357
rxn22103	3-hydroxy-lignoceroyl-CoA dehydratase	4.2.1.-;4.2.1.119	-0.100	-1.580	1.480	1.480	(1) (3R)-3-hydroxy-lignoceroyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-lignocerenoyl-CoA[0]	h2o	0.000	0.000	3	45	12.580	0.357
rxn22104	3-hydroxy-cerotoyl-CoA dehydratase	4.2.1.-;4.2.1.119	-0.100	-1.580	1.480	1.480	(1) (3R)-3-hydroxy-cerotoyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-cerotenoyl-CoA[0]	h2o	0.000	0.000	3	47	12.580	0.357
rxn01436	L-Kynurenine:glyoxylote aminotransferase (cyclizing)	2.6.1.63	-3.910	-2.430	-1.480	1.480	(1) Glyoxalate[0] + (1) L-Kynurenine[0] <=> (1) Glycine[0] + (1) 4-(2-Aminophenyl)-2,4-dioxobutanoate[0]		0.000	0.000	4	10	18.480	0.569
rxn32636	AtECH2	4.2.1.119;4.2.1.17;4.2.1.55	-1.510	-0.030	-1.480	1.480	(1) 3-Hydroxybutanoyl-CoA[0] <=> (1) H2O[0] + (1) Crotonyl-CoA[0]	h2o	0.000	0.000	3	25	13.930	0.563
rxn47260			-0.100	-1.580	1.480	1.480	(1) (3R,8Z,11Z,14Z,17Z)-3-hydroxyicosa-8,11,14,17-tetraenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,8Z,11Z,14Z,17Z)-icosa-2,8,11,14,17-pentaenoyl-CoA[0]	h2o	0.000	0.000	3	41	12.580	0.357
rxn03874	R05595	4.2.1.119;4.2.1.17;4.2.1.55	1.510	0.030	1.480	1.480	(1) H2O[0] + (1) Crotonyl-CoA[0] <=> (1) 3-Hydroxybutanoyl-CoA[0]	h2o	0.000	0.000	3	25	13.930	0.563
rxn23566	3-hydroxy-arachidoyl-CoA dehydratase	4.2.1.-;4.2.1.119	-0.100	-1.580	1.480	1.480	(1) (3R)-3-hydroxy-arachidoyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-arachidoenoyl-CoA[0]	h2o	0.000	0.000	3	41	12.580	0.357
rxn23565	3-hydroxy-arachidoyl-CoA dehydratase	4.2.1.-;4.2.1.119	-0.100	-1.580	1.480	1.480	(1) (3R)-3-hydroxy-arachidoyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-arachidoenoyl-CoA[0]	h2o	0.000	0.000	3	41	12.580	0.357
rxn43616			-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-undecanoyl-CoA[0] <=> (1) H2O[0] + (1) (3E)-undec-2-enoyl-CoA[0]	h2o	0.000	0.000	3	32	12.580	0.357
rxn43625			-0.100	-1.580	1.480	1.480	(1) 3R-hydroxy-(11Z)-eicos-11-enoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,11Z)-icosa-2,11-dienoyl-CoA[0]	h2o	0.000	0.000	3	41	12.580	0.357
