rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon	dgp_uncertainty	eq_uncertainty
rxn02328	7,8-dihydro-7,8-dihydroxykynurenate:NAD+ oxidoreductase	1.3.1.18	-20.600	40.870	-61.470	61.470	(1) NAD[0] + (1) 7,8-Dihydro-7,8-dihydroxykynurenate[0] => (1) NADH[0] + (1) H+[0] + (1) 7,8-Dihydroxykynurenate[0]	h;nad;nadh	1.000	4.000	5	21	48.620	1.902
rxn01193	Protocatechuate:oxygen 4,5-oxidoreductase (decyclizing)	1.13.11.8	-61.570	-122.650	61.080	61.080	(1) O2[0] + (1) Protocatechuate[0] => (1) H+[0] + (1) 4-Carboxy-2-hydroxymuconate semialdehyde[0]	h;o2	1.000	4.000	4	7	38.040	
rxn33252	RXN-8332	1.10.3.1	-82.120	-142.350	60.230	60.230	(1) O2[0] + (2) (2Z)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid[0] => (2) H2O[0] + (2) 3-(2-propenoic acid)-o-benzoquinone[0]	h2o;o2	0.000	0.000	4	9	105.450	3.431
rxn24821	RXN-8332.c	1.10.3.1	-82.120	-142.350	60.230	60.230	(1) O2[0] + (2) (2Z)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid[0] => (2) H2O[0] + (2) 3-(2-propenoic acid)-o-benzoquinone[0]	h2o;o2	0.000	0.000	4	9	105.450	3.431
rxn24822	RXN-8332.d	1.10.3.1	-82.120	-142.350	60.230	60.230	(1) O2[0] + (2) (2Z)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid[0] => (2) H2O[0] + (2) 3-(2-propenoic acid)-o-benzoquinone[0]	h2o;o2	0.000	0.000	4	9	105.450	3.431
rxn03830	R05541		-102.480	-42.280	-60.200	60.200	(1) O2[0] + (1) Fluorene[0] => (1) 3,4-Dihydroxyfluorene[0]	o2	0.000	0.000	3	13	29.470	1.278
rxn45505			-60.990	-120.980	59.990	59.990	(1) O2[0] + (1) 4-methylgentisate[0] => (1) H+[0] + (1) (2E)-3-methyl-4,6-dioxohept-2-enedioate[0]	h;o2	1.000	4.000	4	8	42.190	1.418
rxn24287	RXN-7405.c		-29.140	30.530	-59.670	59.670	(1) NADPH[0] + (1) Acetyl-CoA[0] + (5) H+[0] + (4) Malonyl-CoA[0] => (1) H2O[0] + (1) NADP[0] + (5) CoA[0] + (4) CO2[0] + (1) 6-Hydroxymellein[0]	co2;coa;h;h2o;nadp;nadph	-5.000	-48.000	9	24	59.560	3.874
rxn23794	RXN-2505.c		-62.480	-122.140	59.660	59.660	(1) O2[0] + (1) 2,3-Dihydroxy-2'-carboxybiphenyl[0] => (1) H+[0] + (1) 2-hydroxy-6-(2-carboxyphenyl)-6-oxo-2,4-hexadienoate[0]	h;o2	1.000	4.000	4	13	50.910	
rxn07608	R07801	1.13.-.-	-62.480	-122.140	59.660	59.660	(1) O2[0] + (1) 2,3-Dihydroxy-2'-carboxybiphenyl[0] => (1) H+[0] + (1) 2-Hydroxy-6-oxo-6-(2-carboxyphenyl)-hexa-2,4-dienoate[0]	h;o2	1.000	4.000	4	13	50.910	
rxn16536	4,4'-diapophytoene:FAD oxidoreductase	1.3.8.2	42.650	-16.990	59.640	59.640	(4) FAD[0] + (1) Dehydrosqualene[0] <= (4) FADH2[0] + (1) 4,4'-Diapolycopene[0]	fad;fadh2	0.000	0.000	4	30	113.370	
rxn03831	R05542		-102.480	-43.070	-59.410	59.410	(1) O2[0] + (1) Fluorene[0] => (1) 1,2-Dihydroxyfluorene[0]	o2	0.000	0.000	3	13	29.450	1.278
rxn40109	luteolin,NADPH:oxygen oxidoreductase		-122.230	-62.890	-59.340	59.340	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Luteolin[0] => (1) H2O[0] + (1) NADP[0] + (1) Tricetin[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	21	24.020	2.466
rxn00584	(1R,6S)-1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate:NAD+ oxidoreductase (decarboxylating)	1.3.1.25	-21.730	37.490	-59.220	59.220	(1) NAD[0] + (1) cis-1,2-dihydroxybenzoate[0] => (1) NADH[0] + (1) CO2[0] + (1) Catechol[0]	co2;nad;nadh	0.000	2.000	5	21	46.990	2.569
rxn23439	2,2',3,3'-tetrahydroxybiphenyl dioxygenase	1.13.11.-	-62.560	-121.760	59.200	59.200	(1) O2[0] + (1) 2,2',3,3'-tetrahydroxybiphenyl[0] => (1) H+[0] + (1) 2-hydroxy-6-oxo-6-(2,3-dihydroxyphenyl)-hexa-2,4-dienoate[0]	h;o2	1.000	2.000	4	12	53.980	
rxn03711	R05411	1.13.11.-	-62.770	-121.840	59.070	59.070	(1) O2[0] + (1) 2,2',3-Trihydroxybiphenyl[0] => (1) H+[0] + (1) 2-Hydroxy-6-oxo-6-(2-hydroxyphenyl)-hexa-2,4-dienoate[0]	h;o2	1.000	2.000	4	12	52.470	
