compound	name	formula	charge	n_reactions	offset_eq_minus_dgp
cpd00248	Quinate	C7H11O6	-1	24	-11.589
cpd00438	Deoxyadenosine	C10H13N5O3	0	13	-11.525
cpd02566	2,3-Dihydroxy-2,3-dihydrobenzoate	C7H7O4	-1	7	11.427
cpd03356	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate	C10H8NO5	-1	5	-11.405
cpd01741	ddca	C12H23O2	-1	21	-11.359
cpd00170	Gluconolactone	C6H10O6	0	28	11.314
cpd03470	Iminoaspartate	C4H4NO4	-1	12	11.239
cpd00153	Benzoate	C7H5O2	-1	31	11.230
cpd25067	1-16:0-2-18:2-phosphatidylcholine	C42H80NO8P	0	13	-11.141
cpd00599	SALC	C7H5O3	-1	30	-11.109
cpd01183	Kynurenine	C10H12N2O3	0	6	11.103
cpd01973	4-Guanidinobutanamide	C5H13N4O	1	6	-11.084
cpd01964	3-Hydroxybenzaldehyde	C7H6O2	0	8	-11.033
cpd01716	3-Dehydroshikimate	C7H7O5	-1	22	-10.948
cpd08926	Phytosphingosine	C18H40NO3	1	18	-10.935
cpd00234	5-Dehydro-D-fructose	C6H10O6	0	8	10.901
cpd00483	3-Hydroxyanthranilate	C7H6NO3	-1	10	-10.884
cpd00359	indol	C8H7N	0	20	10.865
cpd00151	Thymine	C5H6N2O2	0	7	-10.863
cpd01498	Maleylacetate	C6H4O5	-2	8	10.861
cpd00432	meso-Tartrate	C4H4O6	-2	5	-10.856
cpd00183	Sarcosine	C3H7NO2	0	6	-10.798
cpd00083	GDP-mannose	C16H23N5O16P2	-2	16	10.761
cpd01536	GDP-L-galactose	C16H23N5O16P2	-2	9	10.750
cpd02210	Indoleglycerol phosphate	C11H12NO6P	-2	9	10.730
cpd01420	beta-Carotene	C40H56	0	18	-10.697
cpd03469	beta-D-Glucosyl-2-coumarinate	C15H17O8	-1	10	10.692
cpd03468	2-Coumarinate	C9H7O3	-1	7	-10.692
cpd19008	(R)-Acetoin	C4H8O2	0	9	10.626
cpd04390	Benzoyl acetyl-CoA	C30H38N7O18P3S	-4	9	10.611
cpd09060	beta-Ionone	C13H20O	0	7	-10.559
cpd00069	L-Tyrosine	C9H11NO3	0	39	10.496
cpd02160	N2-Succinyl-L-ornithine	C9H15N2O5	-1	10	-10.407
cpd19489	Isopimaradienol	C20H32O	0	10	10.396
cpd24266	(3R)-3-hydroxy-arachidoyl-CoA	C41H70N7O18P3S	-4	5	-10.391
cpd00318	Tryptamine	C10H13N2	1	16	10.280
cpd00507	Glycerophosphocholine	C8H20NO6P	0	13	-10.239
cpd00304	Retinal	C20H28O	0	19	-10.174
cpd01430	11-cis-Retinal	C20H28O	0	5	-10.170
cpd24366	1,2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine	C44H84NO8P	0	11	10.151
cpd00121	L-Inositol	C6H12O6	0	50	10.082
cpd02124	2-Methylacetoacetyl-CoA	C26H38N7O18P3S	-4	6	10.062
cpd01264	Octadecanal	C18H36O	0	5	-10.045
cpd19490	Isopimaradienal	C20H30O	0	11	10.013
cpd01133	Stachyose	C24H42O21	0	20	10.002
cpd40663	1-(9Z-octadecenoyl)-N-(acetyl)-sphing-4-enine	C38H71NO4	0	6	9.999
cpd19035	beta-D-Fructose 6-phosphate	C6H11O9P	-2	36	-9.981
cpd14644	4,4-Dimethyl-5alpha-cholesta-8-en-3beta-ol	C29H50O	0	11	-9.829
cpd25364	4alpha-formyl-5alpha-cholesta-8-en-3beta-ol	C28H46O2	0	14	-9.791
cpd17399	2-Deoxyinosose	C6H10O5	0	5	-9.714
cpd01107	Decanoate	C10H19O2	-1	10	-9.687
cpd00562	1-Octanol	C8H18O	0	6	-9.669
cpd00275	L-Kynurenine	C10H12N2O3	0	32	9.644
cpd01422	beta-D-Xylose	C5H10O5	0	7	-9.624
cpd25133	1-18:0-2-18:1-phosphatidylcholine	C44H86NO8P	0	6	-9.548
cpd01695	Myristoyl-CoA	C35H58N7O17P3S	-4	34	-9.545
cpd00182	Adenosine	C10H13N5O4	0	42	-9.482
cpd00053	L-Glutamine	C5H10N2O3	0	52	-9.470
cpd24272	(2E)-lignocerenoyl-CoA	C45H76N7O17P3S	-4	8	-9.445
cpd00762	4-Guanidinobutanoate	C5H11N3O2	0	7	-9.402
cpd01793	2,5-diketo-D-gluconate	C6H7O7	-1	6	9.393
cpd16443	beta-D-Ribofuranose	C5H10O5	0	28	-9.335
cpd01468	Methylmalonate	C4H4O4	-2	14	-9.333
cpd04654	Caffeine	C8H10N4O2	0	10	-9.316
cpd00618	Naphthalene	C10H8	0	5	9.255
cpd00325	Progesterone	C21H30O2	0	12	9.190
cpd31093	3,5,7-Trioxododecanoyl-CoA	C33H48N7O20P3S	-4	5	9.167
cpd35799	12alpha-hydroxy-3-oxo-5beta-cholan-24-oate	C24H37O4	-1	5	-9.129
cpd00226	HYXN	C5H4N4O	0	28	-9.106
cpd00135	Homocysteine	C4H9NO2S	0	38	-9.085
cpd00844	2-Hydroxycyclohexan-1-one	C6H10O2	0	6	-9.075
cpd03640	6-Oxohexanoate	C6H9O3	-1	7	9.075
cpd02595	p-Coumaroyl quinic acid	C16H17O8	-1	7	9.064
cpd00319	L-Menthol	C10H20O	0	7	-9.061
cpd00152	Agmatine	C5H16N4	2	19	-9.031
cpd00107	L-Leucine	C6H13NO2	0	25	-9.027
cpd00342	N-Acetylornithine	C7H14N2O3	0	12	-8.978
cpd24550	(+)-neoisomenthol	C10H20O	0	5	-8.940
cpd00351	Saccharopine	C11H19N2O6	-1	8	-8.913
cpd20867	16-Oxo-palmitate	C16H29O3	-1	6	-8.901
cpd00428	2-Oxopropanal	C3H4O2	0	28	8.878
cpd01735	Glucurone	C6H8O6	0	7	8.869
cpd00320	D-Aspartate	C4H6NO4	-1	5	-8.851
cpd00430	PACT	C8H8O2	0	12	8.836
cpd00296	dGMP	C10H12N5O7P	-2	5	-8.791
cpd02113	dTDP-rhamnose	C16H24N2O15P2	-2	8	8.773
cpd00420	Testosterone	C19H28O2	0	10	-8.768
cpd00132	L-Asparagine	C4H8N2O3	0	17	-8.763
cpd00066	L-Phenylalanine	C9H11NO2	0	43	8.755
cpd00853	DPG	C3H3O10P2	-5	6	-8.749
cpd00322	L-Isoleucine	C6H13NO2	0	19	-8.724
cpd00361	ACTN	C4H8O2	0	20	8.718
cpd03345	5-Hydroxyindoleacetaldehyde	C10H9NO2	0	13	8.713
