rxn_id,operator,dg,dge
rxn00395,>,-12.38,1.99
rxn00396,=,1.93,4.92
rxn00397,=,-10.4,6.42
rxn00400,>,-59.15,7.12
rxn00401,>,-109.26,2.46
rxn00402,=,9.21,6.59
rxn00403,=,9.21,6.59
rxn00404,=,0.0,2.25
rxn00405,>,-3.09,2.27
rxn00406,=,0.0,2.21
rxn00407,=,-5.14,2.8
rxn00408,>,-6.81,2.81
rxn00409,=,0.0,5.09
rxn00410,=,-1.67,5.13
rxn00411,=,-4.92,2.8
rxn00412,>,-6.39,5.18
rxn00413,>,-8.48,3.59
rxn00414,=,-20.78,8.69
rxn00415,=,-0.0,0.99
rxn00416,>,-27.3,4.46
rxn00417,=,0.0,0.86
rxn00418,>,-11.13,4.37
rxn00419,=,8.69,6.16
rxn00420,=,7.22,0.84
rxn00421,=,-3.07,0.84
rxn00422,=,0.0,0.61
rxn00423,>,-3.61,4.97
rxn00424,=,-1.46,0.57
rxn00425,=,0.0,0.44
rxn00426,=,-0.87,0.84
rxn00427,>,-70.63,1.32
rxn00429,=,-9.8,6.16
rxn00430,=,6.44,6.14
rxn00431,>,-2.99,1.0
rxn00432,>,-25.27,1.0
rxn00433,>,-19.03,1.38
rxn00434,>,-19.03,1.53
rxn00435,>,-16.24,1.32
rxn00436,>,-16.14,3.72
rxn00437,=,0.0,5.63
rxn00438,=,9.33,5.64
rxn00439,>,-6.81,3.71
rxn00440,>,-14.03,5.62
rxn00441,>,-6.87,3.87
rxn00444,>,-84.16,2.18
rxn00445,>,-15.1,2.03
rxn00448,>,-137.73,1.81
rxn00449,>,-11.85,1.84
rxn00450,>,-23.02,1.53
rxn00451,=,-0.0,5.33
rxn00452,>,-13.15,4.96
rxn00453,>,-9.36,1.28
rxn00454,=,-1.46,1.21
rxn00455,=,0.74,1.49
rxn00456,>,-1.83,1.3
rxn00457,=,0.0,1.16
rxn00458,>,-3.09,1.26
rxn00459,=,-0.87,0.83
rxn00460,=,-4.92,2.76
rxn00461,=,10.33,4.7
rxn00462,<,13.19,0.79
rxn00463,>,-27.3,2.76
rxn00464,>,-10.58,10.23
rxn00465,=,2.73,1.43
rxn00466,=,9.21,6.23
rxn00467,=,-1.0,0.82
rxn00468,>,-15.06,1.23
rxn00469,=,-2.0,1.16
rxn00470,>,-3.09,0.89
rxn00471,=,4.15,1.18
rxn00472,=,0.0,0.72
rxn00473,=,4.44,2.37
rxn00474,>,-11.95,2.32
rxn00475,=,8.69,6.54
rxn00476,=,8.69,6.52
rxn00477,>,-23.02,2.45
rxn00478,>,-92.1,2.01
rxn00479,>,-109.26,2.44
rxn00480,>,-89.79,2.39
rxn00481,>,-4.72,2.4
rxn00482,=,-10.46,5.4
rxn00483,=,0.0,2.3
rxn00484,>,-3.09,2.28
rxn00485,>,-27.3,4.51
rxn00486,>,-21.24,4.5
rxn00487,=,8.69,6.25
rxn00488,>,-23.02,1.54
rxn00489,>,-109.26,1.52
rxn00490,>,-29.07,1.71
rxn00491,=,0.0,1.25
rxn00492,>,-5.29,5.11
rxn00493,=,0.0,1.29
rxn00494,=,-0.0,1.27
rxn00495,>,-0.19,1.42
rxn00496,<,43.61,1.25
rxn00497,>,-3.09,1.27
rxn00498,>,-27.33,4.38
rxn00499,=,6.22,6.12
rxn00500,=,6.22,6.12
rxn00501,=,-8.95,7.87
rxn00502,=,-8.95,7.86
rxn00503,=,4.26,6.25
rxn00504,=,4.26,6.24
rxn00505,=,3.13,6.15
rxn00506,=,-11.99,6.16
rxn00507,=,-11.99,6.15
rxn00508,=,-9.8,6.14
rxn00509,=,-9.8,6.12
rxn00510,=,9.21,6.27
rxn00511,=,9.21,6.25
rxn00512,=,7.68,6.11
rxn00513,>,-6.81,3.95
rxn00514,>,-27.3,3.95
rxn00515,=,0.0,5.8
rxn00516,>,-6.81,3.97
rxn00517,=,-4.92,3.95
rxn00518,>,-14.03,4.45
rxn00519,>,-9.82,3.98
rxn00520,=,-1.06,6.33
rxn00521,=,5.66,1.42
rxn00522,>,-23.02,1.62
rxn00523,>,-90.63,6.28
rxn00524,>,-81.03,1.59
rxn00525,>,-16.12,6.33
rxn00526,>,-16.12,6.31
rxn00527,=,0.0,1.38
rxn00528,>,-26.84,5.11
rxn00529,>,-3.09,1.36
rxn00530,>,-0.19,1.51
rxn00531,=,0.0,1.27
rxn00532,=,-4.05,7.85
rxn00533,=,-1.07,6.63
rxn00534,=,-1.54,5.03
rxn00535,>,-118.58,7.91
rxn00536,=,5.78,6.13
rxn00537,>,-14.43,0.99
rxn00538,>,-0.64,1.05
rxn00539,>,-7.86,0.76
rxn00540,=,-1.4,0.69
rxn00541,=,3.21,0.69
rxn00542,=,5.87,0.75
rxn00543,=,5.78,6.14
rxn00544,=,-3.43,3.84
rxn00545,>,-14.03,4.68
rxn00546,=,2.01,6.31
rxn00547,>,-14.03,4.7
rxn00548,>,-20.32,1.58
rxn00549,=,7.22,1.98
rxn00550,=,7.22,1.98
rxn00551,=,-3.07,1.98
rxn00552,=,1.58,2.1
rxn00553,=,-1.7,4.74
rxn00554,>,-14.03,3.29
rxn00555,=,-6.3,2.1
rxn00556,>,-14.03,3.25
rxn00557,>,-14.03,4.3
rxn00558,=,-0.89,2.0
rxn00559,=,-0.89,2.0
rxn00560,=,-2.1,4.49
rxn00561,=,-3.9,1.69
rxn00562,=,4.24,1.12
rxn00563,=,-3.9,1.73
rxn00564,=,3.55,4.98
rxn00565,>,-76.25,1.0
rxn00566,>,1.76,1.15
rxn00568,<,101.14,18.35
rxn00569,<,101.14,18.31
rxn00570,<,30.61,1.18
rxn00571,=,25.19,6.16
rxn00572,=,25.19,6.15
rxn00574,=,10.39,0.87
rxn00575,=,-3.11,3.48
rxn00577,=,-10.33,3.47
rxn00578,=,7.22,3.95
rxn00579,=,-1.7,4.78
rxn00580,=,-16.55,8.33
