cpd_id,has_modelseed,has_group_contribution,has_equilibrator,has_dgpredictor
cpd00704,True,True,True,False
cpd00705,True,True,True,False
cpd00706,True,True,True,False
cpd00707,True,True,True,False
cpd00708,True,True,True,False
cpd00709,True,True,True,False
cpd00710,False,False,False,False
cpd00711,True,True,False,False
cpd00712,True,True,True,False
cpd00713,True,True,True,False
cpd00714,True,True,True,False
cpd00715,True,True,True,False
cpd00716,False,False,False,False
cpd00717,True,True,True,False
cpd00718,True,True,True,False
cpd00719,True,True,True,False
cpd00720,True,True,True,False
cpd00721,True,True,True,False
cpd00722,True,True,True,False
cpd00723,True,True,True,False
cpd00724,True,True,True,False
cpd00725,False,False,False,False
cpd00726,True,True,True,False
cpd00727,True,True,True,False
cpd00728,True,True,True,False
cpd00729,True,True,True,False
cpd00730,False,False,False,False
cpd00731,True,True,True,False
cpd00732,True,True,True,False
cpd00733,False,False,False,False
cpd00734,False,False,False,False
cpd00735,True,True,True,False
cpd00736,True,True,False,False
cpd00737,True,True,True,False
cpd00738,True,True,True,False
cpd00739,True,True,False,False
cpd00740,True,True,True,False
cpd00741,True,True,False,False
cpd00742,True,True,True,False
cpd00743,True,True,True,False
cpd00744,True,True,True,False
cpd00745,True,True,True,False
cpd00746,True,True,True,False
cpd00747,True,True,True,False
cpd00748,False,False,False,False
cpd00749,True,True,True,False
cpd00750,True,True,True,False
cpd00751,True,True,True,False
cpd00752,True,True,True,False
cpd00753,False,False,False,False
cpd00754,True,True,True,False
cpd00755,True,True,True,False
cpd00756,True,True,True,False
cpd00757,True,True,True,False
cpd00758,True,True,True,False
cpd00759,True,True,True,False
cpd00760,True,True,True,False
cpd00761,True,True,False,False
cpd00762,True,True,True,False
cpd00763,True,True,True,False
cpd00764,True,True,False,False
cpd00765,True,True,True,False
cpd00766,False,True,False,False
cpd00767,True,True,True,False
cpd00768,True,True,True,False
cpd00769,True,True,True,False
cpd00770,True,True,True,False
cpd00771,True,True,True,False
cpd00772,True,True,True,False
cpd00773,True,True,True,False
cpd00774,False,False,True,False
cpd00775,True,True,True,False
cpd00776,True,True,True,False
cpd00777,True,True,True,False
cpd00778,True,True,True,False
cpd00779,True,True,True,False
cpd00780,True,True,True,False
cpd00781,True,True,True,False
cpd00782,True,True,True,False
cpd00783,False,False,False,False
cpd00784,True,True,False,False
cpd00785,True,True,True,False
cpd00786,True,True,True,False
cpd00787,True,True,True,False
cpd00788,True,True,True,False
cpd00789,True,True,True,False
cpd00790,True,True,True,False
cpd00791,False,False,True,False
cpd00792,True,True,False,False
cpd00793,True,True,True,False
cpd00794,True,True,True,False
cpd00795,True,True,True,False
cpd00796,True,True,True,False
cpd00797,True,True,True,False
cpd00798,True,True,False,False
cpd00799,False,False,False,False
cpd00800,True,True,False,False
cpd00801,True,True,True,False
cpd00802,True,True,True,False
cpd00803,True,True,False,False
cpd00804,True,True,True,False
cpd00805,True,True,True,False
cpd00806,True,True,True,False
cpd00807,True,True,True,False
cpd00808,True,True,True,False
cpd00809,True,True,True,False
cpd00810,True,True,True,False
cpd00811,True,True,True,False
cpd00812,True,True,True,False
cpd00813,True,True,True,False
cpd00814,True,True,True,False
cpd00815,True,True,True,False
cpd00816,True,True,True,False
cpd00817,True,True,True,False
cpd00818,True,True,True,False
cpd00819,True,True,True,False
cpd00820,True,True,True,False
cpd00821,False,False,False,False
cpd00822,True,True,True,False
cpd00823,True,True,False,False
cpd00824,True,True,True,False
cpd00825,True,True,True,False
cpd00826,True,True,True,False
cpd00827,True,True,True,False
cpd00828,True,True,True,False
cpd00829,True,True,True,False
cpd00830,True,True,True,False
cpd00831,True,True,False,False
cpd00832,True,True,True,False
cpd00833,True,True,True,False
cpd00834,True,True,True,False
cpd00835,False,False,False,False
cpd00836,True,True,True,False
cpd00837,True,True,True,False
cpd00838,True,True,True,False
cpd00839,False,False,False,False
cpd00840,True,True,True,False
cpd00841,True,True,True,False
