rxn_id,has_modelseed_current,op_modelseed_current,via
rxn35411,False,,undefined
rxn35412,False,,undefined
rxn35413,False,,undefined
rxn35414,False,,undefined
rxn35415,True,>,eQuilibrator
rxn35416,True,=,eQuilibrator
rxn35417,True,=,eQuilibrator
rxn35418,True,>,eQuilibrator
rxn35424,True,=,eQuilibrator
rxn35425,True,=,eQuilibrator
rxn35427,True,<,eQuilibrator
rxn35428,True,=,eQuilibrator
rxn35429,True,>,eQuilibrator
rxn35430,True,=,eQuilibrator
rxn35431,True,>,eQuilibrator
rxn35432,True,>,eQuilibrator
rxn35433,True,=,eQuilibrator
rxn35434,False,,undefined
rxn35435,True,>,eQuilibrator
rxn35436,True,>,eQuilibrator
rxn35437,True,>,GC_fallback
rxn35438,True,>,eQuilibrator
rxn35439,True,=,eQuilibrator
rxn35440,True,>,eQuilibrator
rxn35441,True,>,eQuilibrator
rxn35442,True,=,eQuilibrator
rxn35443,True,>,eQuilibrator
rxn35444,True,=,eQuilibrator
rxn35445,False,,undefined
rxn35446,False,,undefined
rxn35447,True,>,eQuilibrator
rxn35448,True,>,eQuilibrator
rxn35449,True,=,eQuilibrator
rxn35450,True,>,eQuilibrator
rxn35452,False,,undefined
rxn35453,False,,undefined
rxn35454,False,,undefined
rxn35456,True,>,eQuilibrator
rxn35461,False,,undefined
rxn35462,False,,undefined
rxn35463,False,,undefined
rxn35464,True,>,eQuilibrator
rxn35465,True,=,eQuilibrator
rxn35466,False,,undefined
rxn35467,False,,undefined
rxn35471,False,,undefined
rxn35472,True,>,eQuilibrator
rxn35473,True,>,eQuilibrator
rxn35474,False,,undefined
rxn35475,True,>,eQuilibrator
rxn35476,False,,undefined
rxn35477,False,,undefined
rxn35478,False,,undefined
rxn35479,False,,undefined
rxn35480,False,,undefined
rxn35481,False,,undefined
rxn35482,False,,undefined
rxn35484,False,,undefined
rxn35485,False,,undefined
rxn35486,False,,undefined
rxn35488,False,,undefined
rxn35489,False,,undefined
rxn35490,False,,undefined
rxn35491,False,,undefined
rxn35492,False,,undefined
rxn35505,True,=,eQuilibrator
rxn35507,False,,undefined
rxn35508,False,,undefined
rxn35509,False,,undefined
rxn35510,False,,undefined
rxn35511,False,,undefined
rxn35517,True,<,GC_fallback
rxn35518,True,=,eQuilibrator
rxn35519,True,>,eQuilibrator
rxn35520,False,,undefined
rxn35521,False,,undefined
rxn35524,True,=,eQuilibrator
rxn35525,True,>,eQuilibrator
rxn35526,True,=,eQuilibrator
rxn35527,True,>,eQuilibrator
rxn35528,True,>,eQuilibrator
rxn35529,True,=,eQuilibrator
rxn35530,True,=,eQuilibrator
rxn35531,True,=,eQuilibrator
rxn35533,True,>,eQuilibrator
rxn35534,False,,undefined
rxn35536,True,=,eQuilibrator
rxn35537,True,=,eQuilibrator
rxn35538,True,=,GC_fallback
rxn35539,True,=,eQuilibrator
rxn35540,True,=,eQuilibrator
rxn35541,True,=,eQuilibrator
rxn35543,True,>,eQuilibrator
rxn35544,True,=,eQuilibrator
rxn35545,True,=,eQuilibrator
rxn35547,True,=,eQuilibrator
rxn35548,True,=,eQuilibrator
rxn35549,True,>,eQuilibrator
rxn35550,True,=,eQuilibrator
rxn35551,True,=,GC_fallback
rxn35552,True,=,eQuilibrator
rxn35553,True,>,eQuilibrator
rxn35554,True,>,eQuilibrator
rxn35556,True,>,eQuilibrator
rxn35560,True,=,eQuilibrator
rxn35561,True,=,eQuilibrator
rxn35562,True,>,eQuilibrator
rxn35563,True,>,eQuilibrator
rxn35564,False,,undefined
rxn35568,True,>,eQuilibrator
rxn35569,True,>,eQuilibrator
rxn35570,True,>,eQuilibrator
rxn35571,True,>,eQuilibrator
rxn35572,True,=,eQuilibrator
rxn35573,True,>,eQuilibrator
rxn35574,True,<,eQuilibrator
rxn35575,True,=,GC_fallback
rxn35580,True,>,eQuilibrator
rxn35581,False,,undefined
rxn35582,True,=,GC_fallback
rxn35583,True,=,eQuilibrator
rxn35584,True,=,eQuilibrator
rxn35585,True,=,eQuilibrator
rxn35586,True,=,eQuilibrator
rxn35587,True,=,eQuilibrator
rxn35588,True,=,eQuilibrator
rxn35589,True,=,eQuilibrator
rxn35590,True,=,eQuilibrator
rxn35591,True,=,eQuilibrator
rxn35592,True,=,eQuilibrator
rxn35593,True,>,eQuilibrator
rxn35594,True,>,eQuilibrator
rxn35595,True,>,eQuilibrator
rxn35596,True,>,eQuilibrator
rxn35597,True,>,eQuilibrator
rxn35598,True,>,eQuilibrator
rxn35599,True,=,eQuilibrator
rxn35600,True,>,eQuilibrator
rxn35601,True,>,eQuilibrator
rxn35602,True,>,eQuilibrator
rxn35603,True,>,eQuilibrator
rxn35604,True,>,eQuilibrator
rxn35605,True,>,eQuilibrator
rxn35606,True,=,eQuilibrator
rxn35607,True,=,eQuilibrator
rxn35608,True,=,eQuilibrator
rxn35609,True,>,eQuilibrator
rxn35610,True,=,eQuilibrator
rxn35611,True,=,eQuilibrator
rxn35612,True,>,eQuilibrator
rxn35613,True,>,eQuilibrator
rxn35614,True,>,eQuilibrator
rxn35615,True,>,eQuilibrator
rxn35616,True,>,eQuilibrator
rxn35617,True,>,eQuilibrator
rxn35618,True,>,eQuilibrator
rxn35619,True,>,eQuilibrator
rxn35620,True,>,eQuilibrator
rxn35621,True,>,eQuilibrator
rxn35622,False,,undefined
rxn35623,False,,undefined
rxn35624,False,,undefined
rxn35625,False,,undefined
rxn35626,True,>,eQuilibrator
rxn35627,True,>,eQuilibrator
rxn35628,True,>,eQuilibrator
rxn35629,True,>,eQuilibrator
rxn35630,True,>,eQuilibrator
rxn35631,True,>,GC_fallback
rxn35632,True,>,GC_fallback
rxn35633,True,>,GC_fallback
rxn35634,True,>,GC_fallback
rxn35635,True,=,eQuilibrator
rxn35636,True,>,eQuilibrator
rxn35637,True,=,eQuilibrator
rxn35638,True,=,eQuilibrator
rxn35639,True,>,eQuilibrator
rxn35640,True,>,eQuilibrator
rxn35641,True,>,eQuilibrator
rxn35642,False,,undefined
rxn35643,False,,undefined
rxn35644,False,,undefined
rxn35645,False,,undefined
rxn35646,False,,undefined
rxn35647,False,,undefined
rxn35648,False,,undefined
rxn35649,False,,undefined
rxn35650,False,,undefined
rxn35651,True,>,GC_fallback
rxn35652,True,=,GC_fallback
rxn35653,True,=,GC_fallback
rxn35654,True,>,GC_fallback
rxn35655,True,=,GC_fallback
rxn35656,True,=,GC_fallback
rxn35657,True,=,GC_fallback
rxn35658,True,>,GC_fallback
rxn35659,True,=,GC_fallback
rxn35660,True,=,GC_fallback
rxn35661,True,>,GC_fallback
rxn35662,True,=,GC_fallback
rxn35663,True,=,GC_fallback
rxn35664,True,=,GC_fallback
rxn35665,True,=,eQuilibrator
rxn35666,False,,undefined
rxn35667,True,=,eQuilibrator
rxn35668,True,=,eQuilibrator
rxn35669,True,=,eQuilibrator
rxn35670,True,=,eQuilibrator
rxn35671,True,=,eQuilibrator
rxn35672,True,=,eQuilibrator
rxn35673,True,=,eQuilibrator
rxn35674,True,=,eQuilibrator
rxn35675,True,=,eQuilibrator
rxn35676,True,>,eQuilibrator
rxn35677,True,>,eQuilibrator
rxn35678,False,,undefined
rxn35679,True,>,eQuilibrator
rxn35680,True,=,eQuilibrator
rxn35681,True,<,eQuilibrator
rxn35682,True,<,eQuilibrator
rxn35683,True,>,eQuilibrator
rxn35684,True,>,eQuilibrator
rxn35685,True,>,eQuilibrator
rxn35686,True,>,eQuilibrator
rxn35687,True,>,eQuilibrator
rxn35688,True,>,eQuilibrator
rxn35689,True,>,eQuilibrator
rxn35690,True,>,eQuilibrator
rxn35691,True,>,eQuilibrator
rxn35692,True,>,eQuilibrator
rxn35693,True,>,eQuilibrator
rxn35694,True,>,eQuilibrator
rxn35695,True,>,eQuilibrator
rxn35696,True,>,eQuilibrator
rxn35697,True,>,eQuilibrator
rxn35698,True,=,eQuilibrator
rxn35699,True,=,eQuilibrator
rxn35700,True,=,eQuilibrator
rxn35701,True,<,eQuilibrator
rxn35702,True,<,eQuilibrator
rxn35703,True,<,eQuilibrator
rxn35704,True,<,eQuilibrator
rxn35705,True,<,eQuilibrator
rxn35706,True,<,eQuilibrator
rxn35707,True,<,eQuilibrator
rxn35708,True,<,eQuilibrator
rxn35709,True,=,eQuilibrator
rxn35710,True,=,eQuilibrator
rxn35711,True,>,eQuilibrator
rxn35712,True,>,eQuilibrator
rxn35713,True,>,eQuilibrator
rxn35714,True,>,eQuilibrator
rxn35715,True,=,eQuilibrator
rxn35716,True,=,eQuilibrator
rxn35717,True,>,eQuilibrator
rxn35718,True,>,eQuilibrator
rxn35719,True,=,eQuilibrator
rxn35720,False,,undefined
rxn35721,False,,undefined
rxn35722,True,=,eQuilibrator
rxn35723,True,=,eQuilibrator
rxn35724,True,<,eQuilibrator
rxn35725,True,<,eQuilibrator
rxn35726,True,=,eQuilibrator
rxn35727,True,=,eQuilibrator
rxn35728,True,=,eQuilibrator
rxn35729,True,=,eQuilibrator
rxn35730,True,=,eQuilibrator
rxn35731,True,=,eQuilibrator
rxn35732,True,>,eQuilibrator
rxn35733,True,>,eQuilibrator
rxn35734,True,>,eQuilibrator
