rxn	name	ec	status	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	cofactors	n_participants	max_carbon	elements	kegg_ids_staged	kegg_ids_alias	kegg_vouched	kegg_max_reuse	is_transport	total_rings	n_groups_changed	dg_scale	absdiff_gc_eq	absdiff_gc_dgp	absdiff_eq_dgp
rxn15891	R08987	2.1.1.-	OK	(1) S-Adenosyl-L-methionine[0] + (1) N1,N5,N10-Tri-(hydroxyferuloyl)-spermidine[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) N1,N5-Tri-di(hydroxyferuloyl)-N10-sinapoyl-spermidine[0]	-4.360	-1.950	-23.230	21.280	h;sah;sam	5	38	C;H;N;O;S	R08987	R08987	1	1	0	12	2	23.230	2.410	18.870	21.280
rxn15790	S-adenosyl-L-methionine:(R)-reticuline methyltransferase 7-O-methyltransferase	2.1.1.-;2.1.1.291	OK	(1) S-Adenosyl-L-methionine[0] + (1) (R)-Reticuline[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) (-)-Laudanidine[0]	-4.360	-1.800	-23.080	21.280	h;sah;sam	5	20	C;H;N;O;S	R08788;R10606	R08788;R10606	1	2	0	12	2	23.080	2.560	18.720	21.280
rxn00596	S-Adenosyl-L-methionine:catechol O-methyltransferase	2.1.1.6	OK	(1) S-Adenosyl-L-methionine[0] + (1) Catechol[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Guaiacol[0]	-4.360	-1.840	-23.120	21.280	h;sah;sam	5	15	C;H;N;O;S	R00827;R07330	R00827;R07330	1	2	0	8	2	23.120	2.520	18.760	21.280
rxn39493	S-Adenosyl-L-methionine:3'-hydroxy-N-methyl-(S)-coclaurine 4'-O-methyltransferase		OK	(1) S-Adenosyl-L-methionine[0] + (1) (S)-6-O-Methylnorlaudanosoline[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) (S)-Norreticuline[0]	-4.360	-1.840	-23.120	21.280	h;sah;sam	5	18	C;H;N;O;S	R05212	R05212	1	2	0	12	2	23.120	2.520	18.760	21.280
rxn39351			OK	(1) S-Adenosyl-L-methionine[0] + (1) 3-Hydroxyanthranilate[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) 3-Methoxyanthranilate[0]	-4.360	-1.840	-23.120	21.280	h;sah;sam	5	15	C;H;N;O;S	R02671	R02671	1	4	0	8	2	23.120	2.520	18.760	21.280
rxn15789	S-adenosyl-L-methionine:(S)-reticuline methyltransferase 7-O-methyltransferase	2.1.1.-	OK	(1) S-Adenosyl-L-methionine[0] + (1) (+)-Reticuline[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) (-)-Laudanidine[0]	-4.360	-1.800	-23.080	21.280	h;sah;sam	5	20	C;H;N;O;S	R08787	R08787	1	2	0	12	2	23.080	2.560	18.720	21.280
rxn14225	S-adenosyl-L-methionine:(R)-reticuline methyltransferase 7-O-methyltransferase	2.1.1.-	OK	(1) S-Adenosyl-L-methionine[0] + (1) (R)-Reticuline[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Laudanine[0]	-4.360	-1.800	-23.080	21.280	h;sah;sam	5	20	C;H;N;O;S	R08788	R08788	1	2	0	12	2	23.080	2.560	18.720	21.280
rxn03258	S-adenosyl-L-methionine:2-Hydroxyestrone O-methyltransferase	2.1.1.6	OK	(1) S-Adenosyl-L-methionine[0] + (1) 2-Hydroxyestrone[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) 2-Methoxyestrone[0]	-4.360	-1.840	-23.120	21.280	h;sah;sam	5	19	C;H;N;O;S	R04762	R04762	1	1	0	14	2	23.120	2.520	18.760	21.280
rxn02711	S-Adenosyl-L-methionine:3'-hydroxy-N-methyl-(S)-coclaurine 4'-O-methyltransferase	2.1.1.116	OK	(1) S-Adenosyl-L-methionine[0] + (1) (S)-3'-Hydroxy-N-methylcoclaurine[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) (+)-Reticuline[0]	-4.360	-1.840	-23.120	21.280	h;sah;sam	5	19	C;H;N;O;S	R03832	R03832	1	1	0	12	2	23.120	2.520	18.760	21.280
rxn02641	S-Adenosyl-L-methionine:columbamine O-methyltransferase	2.1.1.118	OK	(1) S-Adenosyl-L-methionine[0] + (1) Columbamine[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Palmatine[0]	-4.360	-1.840	-23.120	21.280	h;sah;sam	5	21	C;H;N;O;S	R03721	R03721	1	8	0	14	2	23.120	2.520	18.760	21.280
rxn32745	S-adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate 3-O-methyltransferase	2.1.1.68	OK	(1) S-Adenosyl-L-methionine[0] + (1) 5-Hydroxyconiferaldehyde[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Sinapaldehyde[0]	-4.360	-1.850	-23.130	21.280	h;sah;sam	5	15	C;H;N;O;S	R06576	R06576	1	3	0	8	2	23.130	2.510	18.770	21.280
rxn02561	S-Adenosyl-L-methionine:5,7,3',4'-tetrahydroxyflavone 3'-O-methyltransferase	2.1.1.42	OK	(1) S-Adenosyl-L-methionine[0] + (1) Luteolin[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Chrysoeriol[0]	-4.360	-1.830	-23.110	21.280	h;sah;sam	5	16	C;H;N;O;S	R03587	R03587	1	1	0	12	2	23.110	2.530	18.750	21.280
rxn02088	S-Adenosyl-L-methionine:catechol O-methyltransferase	2.1.1.6	OK	(1) S-Adenosyl-L-methionine[0] + (1) L-Adrenaline[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) L-Metanephrine[0]	-4.360	-1.840	-23.120	21.280	h;sah;sam	5	15	C;H;N;O;S	R02920	R02920	1	2	0	8	2	23.120	2.520	18.760	21.280
rxn01838	S-Adenosyl-L-methionine:catechol O-methyltransferase	2.1.1.6	OK	(1) S-Adenosyl-L-methionine[0] + (1) Arterenol[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) L-Normetanephrine[0]	-4.360	-1.840	-23.120	21.280	h;sah;sam	5	15	C;H;N;O;S	R02534	R02534	1	2	0	8	2	23.120	2.520	18.760	21.280
rxn32609	(R,S)-norcoclaurine 6-O-methyltransferase	2.1.1.128	OK	(1) S-Adenosyl-L-methionine[0] + (1) (S)-Norcoclaurine[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) (S)-Coclaurine[0]	-4.360	-1.840	-23.120	21.280	h;sah;sam	5	17	C;H;N;O;S	R05123	R05123	1	4	0	12	2	23.120	2.520	18.760	21.280
rxn03339	S-Adenosyl-L-methionine:catechol O-methyltransferase	2.1.1.6	OK	(1) S-Adenosyl-L-methionine[0] + (1) Dihydroxymandelic acid[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Vanillylmandelic acid[0]	-4.360	-1.830	-23.110	21.280	h;sah;sam	5	15	C;H;N;O;S	R04887	R04887	1	1	0	8	2	23.110	2.530	18.750	21.280
rxn02367	S-Adenosyl-L-methionine:catechol O-methyltransferase	2.1.1.25;2.1.1.6	OK	(1) S-Adenosyl-L-methionine[0] + (1) Homoprotocatechuate[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Homovanillate[0]	-4.360	-1.830	-23.110	21.280	h;sah;sam	5	15	C;H;N;O;S	R03304	R03304	1	2	0	8	2	23.110	2.530	18.750	21.280
rxn03228	S-Adenosyl-L-methionine:(RS)-norcoclaurine 6-O-methyltransferase	2.1.1.128	OK	(1) S-Adenosyl-L-methionine[0] + (1) Norlaudanosoline[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) 6-O-Methylnorlaudanosoline[0]	-4.360	-1.840	-23.120	21.280	h;sah;sam	5	17	C;H;N;O;S	R04715	R04715	1	1	0	12	2	23.120	2.520	18.760	21.280
