rxn	name	ec	status	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	cofactors	n_participants	max_carbon	elements	kegg_ids_staged	kegg_ids_alias	kegg_vouched	kegg_max_reuse	is_transport	total_rings	n_groups_changed	is_redox	dg_scale	absdiff_gc_eq	absdiff_gc_dgp	absdiff_eq_dgp
rxn07481	3-hydroxybenzaldehyde:NADP+ oxidoreductase	1.2.1.7	OK	(1) H2O[0] + (1) NADP[0] + (1) 3-Hydroxybenzaldehyde[0] <=> (1) NADPH[0] + (2) H+[0] + (1) 3-Hydroxybenzoate[0]	-9.800	-7.280	-11.670	4.390	h;h2o;nadp;nadph	6	21	C;H;N;O;P	R07666	R07666	1	7	0	12	5	1	11.670	2.520	1.870	4.390
rxn02721	3-Hydroxytetradecane-1,3,4-tricarboxylate 2-oxoglutarate-lyase (CoA-acylating)	2.3.3.4	OK	(1) CoA[0] + (1) H+[0] + (1) (3S,4S)-3-Hydroxytetradecane-1,3,4-tricarboxylate[0] <= (1) H2O[0] + (1) 2-Oxoglutarate[0] + (1) Lauroyl-CoA[0]	10.730	7.730	11.650	3.920	coa;h;h2o	6	33	C;H;N;O;P;S	R03859	R03859	1	1	0	6	5	0	11.650	3.000	0.920	3.920
rxn01121	D-gluconate hydro-lyase (2-dehydro-3-deoxy-D-gluconate-forming)	4.2.1.140;4.2.1.39	OK	(1) GLCN[0] => (1) H2O[0] + (1) 2-keto-3-deoxygluconate[0]	-8.170	-7.770	-11.580	3.810	h2o	3	6	C;H;O	R01538	R01538	1	1	0	0	2	0	11.580	0.400	3.410	3.810
rxn39967			OK	(1) H2O[0] + (1) NAD[0] + (1) (2R,3R)-3-methylornithinyl-N6-lysine[0] <=> (1) NADH[0] + (1) NH3[0] + (1) H+[0] + (1) (2R,3R)-3-methylglutamyl-5-semialdehyde-N6-lysine[0]	7.690	9.570	11.530	3.840	h;h2o;nad;nadh;nh3	7	21	C;H;N;O;P	R10012	R10012	1	1	0	10	4	1	11.530	1.880	3.840	1.960
rxn32599	D-galactarate hydro-lyase	4.2.1.42	OK	(1) D-Mucic acid[0] => (1) H2O[0] + (1) 5-Dehydro-4-deoxy-D-glucarate[0]	-8.170	-10.010	-11.500	3.330	h2o	3	6	C;H;O	R05608	R05608	1	8	0	0	2	0	11.500	1.840	3.330	1.490
rxn03887	galactarate hydro-lyase (5-dehydro-4-deoxy-D-glucarate-forming)	4.2.1.42	OK	(1) D-Mucic acid[0] => (1) H2O[0] + (1) 5-Dehydro-4-deoxy-D-glucarate[0]	-8.170	-10.010	-11.500	3.330	h2o	3	6	C;H;O	R05608	R05608	1	8	0	0	2	0	11.500	1.840	3.330	1.490
rxn32598	D-galactarate hydro-lyase	4.2.1.42	OK	(1) D-Mucic acid[0] => (1) H2O[0] + (1) 5-Dehydro-4-deoxy-D-glucarate[0]	-8.170	-10.010	-11.500	3.330	h2o	3	6	C;H;O	R05608	R05608	1	8	0	0	2	0	11.500	1.840	3.330	1.490
rxn32593	D-galactarate hydro-lyase	4.2.1.42	OK	(1) D-Mucic acid[0] => (1) H2O[0] + (1) 5-Dehydro-4-deoxy-D-glucarate[0]	-8.170	-10.010	-11.500	3.330	h2o	3	6	C;H;O	R05608	R05608	1	8	0	0	2	0	11.500	1.840	3.330	1.490
rxn16252	R09415		CI:-2	(2) H+[0] + (1) alpha-(1,2-Dihydroxyethyl)-1,2,3,4-tetrahydro-7-hydroxy-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-acetaldehyde[0] <= (1) 6-[2,3-Dihydroxy-1-(hydroxymethyl)propyl]-1,2-dihydro-7-hydroxy-9-methoxy-cyclopenta[c][1]benzopyran-3,4-dione[0]	9.580	10.700	11.470	1.890	h	3	17	C;H;O	R09415	R09415	1	1	0	6	2	0	11.470	1.120	1.890	0.770
rxn14222	(6E)-8-hydroxygeraniol:NADP+ oxidoreductase	1.1.1.324	OK	(2) NADP[0] + (1) 8-Hydroxygeraniol[0] <=> (2) NADPH[0] + (2) H+[0] + (1) 8-Oxogeranial[0]	7.340	9.780	11.460	4.120	h;nadp;nadph	5	21	C;H;N;O;P	R08499	R08499	1	1	0	10	5	1	11.460	2.440	4.120	1.680
