radius	group	coef_kJ_per_mol	n_heavy_atoms	n_training_compounds	n_modelseed_compounds
2	Cl/C=C/Cl	7.7558	4	1	1
2	C=C/Cl	7.7558	3	1	21
1	C=C/Cl	7.7558	3	1	21
2	CCNC(N)=[NH+]	-7.7406	6	3	11
2	CNC(N)=[NH+]P	-7.7406	6	3	6
2	CO[C@@H](OC)[C@H](O)C	7.6940	8	12	842
2	CCO[C@@H](C)O	-7.6689	6	1	610
2	C[C@@H](COP)O	-7.6379	6	103	2095
2	CC(=O)[C@@H](O)[C@@H](C)O	-7.6298	8	5	58
1	CCS	7.6238	3	39	2166
2	CCc(cc)cc	7.6027	7	7	149
2	CN[C@H](C(O)O)[C@@H](O)C	7.5995	9	3	6
2	CCC(=O)C(=O)[O-]	-7.5886	7	15	155
1	C=CCl	7.5790	3	2	4
2	ClC(Cl)(Cl)Cl	-7.5759	5	1	1
2	C[C@@H](C)O[C@H](O)C	-7.5600	7	2	247
2	C[C@@H](C(=O)[O-])N	7.5306	6	2	111
2	CC(=C)C=CC	7.5108	6	3	20
2	C=C(C(=O)[O-])C	7.4414	6	5	96
2	CC[C@@H](O)[C@H](O)C	7.4413	7	3	69
2	CO[C@H](C(=O)[O-])[C@H](O)C	-7.4342	9	2	31
2	cc(CO)c	-7.4292	5	5	134
2	cCO	-7.4292	3	5	153
1	C=CN	7.4203	3	2	65
2	C[C@@H](O)[C@@H](O)[C@@H](C)O	-7.3549	8	8	338
1	CCl	-7.2754	2	19	556
2	C[C@H](O)[C@@H](O)[C@H](O)O	-7.2455	8	8	1781
2	C[C@H](C)O[C@@H](O)C	-7.2455	7	8	2466
1	C[C@H](O)O	-7.2455	4	8	2941
2	C[C@H](O)[C@@H](O)C(O)O	-7.1977	8	17	191
2	C[C@H](C)OC(=O)C	7.1705	7	2	245
2	CNC(N)=O	7.1359	5	5	82
2	CC[C@@H]([NH3+])CC	7.1321	6	1	20
2	C[C@H]([NH3+])CC(=O)[O-]	7.1321	7	1	7
2	N#C[O-]	-7.0666	3	1	1
2	Cl/C=C\Cl	7.0562	4	1	1
2	C=C\Cl	7.0562	3	1	11
1	C=C\Cl	7.0562	3	1	11
2	C[C@](O)(C)C	-7.0130	5	2	579
1	C[C@](O)(C)C	-7.0130	5	2	625
2	C=CC(=O)[C@@H](O)C	7.0130	7	1	18
2	CC(=CC(=O)C)C	7.0130	7	1	109
2	C[C@H](O)[C@@H](O)[C@@H](O)C	-6.9378	8	8	777
2	COC(O)[C@H](O)C	-6.9183	7	19	213
