rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon
rxn01913	L-Gulonate:NAD+ 3-oxidoreductase	1.1.1.45	4.440	2.680	1.760	1.760	(1) NAD[0] + (1) Gulonate[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Dehydro-L-gulonate[0]	h;nad;nadh	1.000	4.000	5	21
rxn16994	D-glucose:D-fructose oxidoreductase	1.1.99.28	-5.100	-3.330	-1.770	1.770	(1) D-Fructose[0] + (1) beta-D-Glucose[0] <=> (1) Gluconolactone[0] + (1) Sorbitol[0]		0.000	0.000	4	6
rxn16995	D-glucose:D-fructose oxidoreductase	1.1.99.28	-5.100	-3.330	-1.770	1.770	(1) D-Fructose[0] + (1) beta-D-Glucose[0] <=> (1) Gluconolactone[0] + (1) Sorbitol[0]		0.000	0.000	4	6
rxn30181	Glucose-6-phosphate isomerase	5.1.3.15;5.3.1.9	1.450	-0.320	1.770	1.770	(1) D-glucose-6-phosphate[0] <=> (1) beta-D-Glucose 6-phosphate[0]		0.000	0.000	2	6
rxn01977	alpha-D-Glucose 6-phosphate ketol-isomerase	5.1.3.15;5.3.1.9	1.450	-0.320	1.770	1.770	(1) D-glucose-6-phosphate[0] <=> (1) beta-D-Glucose 6-phosphate[0]		0.000	0.000	2	6
rxn34220	glucose-6-phosphate isomerase	5.1.3.15;5.3.1.9	1.450	-0.320	1.770	1.770	(1) D-glucose-6-phosphate[0] <=> (1) beta-D-Glucose 6-phosphate[0]		0.000	0.000	2	6
rxn04847	Arachidonic acid:oxygen 1-oxidoreductase	1.14.15.3	-94.020	-95.790	1.770	1.770	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Arachidonate[0] => (1) H2O[0] + (1) NADP[0] + (1) 20-HETE[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	21
rxn01606	trans-Aconitate delta2-delta3-isomerase	5.3.3.7	1.040	2.820	-1.780	1.780	(1) trans-Aconitate[0] <=> (1) cis-Aconitate[0]		0.000	0.000	2	6
rxn04518	R06686		-3.510	-5.290	1.780	1.780	(1) H+[0] + (1) D 788-1[0] => (1) CO2[0] + (1) 13-Deoxycarminomycin[0]	co2;h	-1.000	0.000	4	27
rxn39503	erythromycin-B,NADPH:oxygen oxidoreductase (12-hydroxylating)		-98.050	-96.270	-1.780	1.780	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Erythromycin B[0] => (1) H2O[0] + (1) NADP[0] + (1) Abomacetin[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	37
