compound	name	formula	charge	n_reactions	offset_eq_minus_dgp
cpd00795	(R)-2-Hydroxyglutarate	C5H6O5	-2	5	-5.467
cpd01682	O-Acetylcarnitine	C9H17NO4	0	6	5.460
cpd00349	Sedoheptulose 1,7-bisphosphate	C7H12O13P2	-4	7	-5.445
cpd00870	gamma-butyrobetaine	C7H15NO2	0	6	-5.437
cpd00435	Phenylcarbinol	C7H8O	0	5	-5.429
cpd00526	Cholate	C24H39O5	-1	7	5.428
cpd01237	Choloyl-CoA	C45H70N7O20P3S	-4	7	-5.428
cpd00395	L-Cysteate	C3H6NO5S	-1	5	-5.405
cpd00478	Pyridoxine phosphate	C8H10NO6P	-2	5	5.377
cpd00033	Glycine	C2H5NO2	0	68	-5.373
cpd00308	Malonate	C3H2O4	-2	5	-5.342
cpd03637	Zeaxanthin	C40H56O2	0	6	-5.272
cpd02069	3-Phosphonooxypyruvate	C3H2O7P	-3	6	-5.249
cpd00561	Vanillin	C8H8O3	0	6	-5.204
cpd00169	3-Phosphoglycerate	C3H4O7P	-3	18	-5.194
cpd03052	Imidazole acetaldehyde	C5H6N2O	0	8	5.179
cpd00054	L-Serine	C3H7NO3	0	48	-5.164
cpd19044	(S)-Methylmalonate semialdehyde	C4H5O3	-1	12	-5.092
cpd00498	2-Aceto-2-hydroxybutanoate	C6H9O4	-1	9	5.034
cpd02095	L-2,4-Diaminobutyrate	C4H11N2O2	1	5	-4.993
cpd03345	5-Hydroxyindoleacetaldehyde	C10H9NO2	0	8	4.963
cpd01133	Stachyose	C24H42O21	0	10	4.960
cpd00811	(CH3)3NO	C3H9NO	0	6	4.950
cpd00285	Phosphoethanolamine	C2H7NO4P	-1	5	-4.886
cpd01831	4-Imidazoleacetate	C5H5N2O2	-1	6	-4.850
cpd00658	Isochorismate	C10H8O6	-2	6	4.798
cpd00035	L-Alanine	C3H7NO2	0	56	-4.744
cpd00288	D-Glucosamine phosphate	C6H13NO8P	-1	19	-4.687
cpd02435	Androstanolone	C19H30O2	0	5	-4.679
cpd03115	(S)-3-Hydroxytetradecanoyl-CoA	C35H58N7O18P3S	-4	6	-4.648
cpd00571	Glucarate	C6H8O8	-2	9	-4.611
cpd00460	Sulfoacetaldehyde	C2H3O4S	-1	9	4.554
cpd01889	4-Acetamidobutanoate	C6H10NO3	-1	6	4.549
cpd00355	Nicotinamide ribonucleotide	C11H14N2O8P	-1	15	-4.546
cpd00142	Acetoacetate	C4H5O3	-1	18	4.490
cpd00909	1-Aminocyclopropane-1-carboxylate	C4H7NO2	0	5	-4.475
cpd01298	Aminoacetone	C3H8NO	1	9	4.424
cpd01882	Isovaleryl-CoA	C26H40N7O17P3S	-4	5	-4.402
cpd01973	4-Guanidinobutanamide	C5H13N4O	1	6	-4.400
cpd00164	Glucuronate	C6H9O7	-1	12	-4.397
cpd00218	Niacin	C6H4NO2	-1	18	4.397
cpd00383	Shikimate	C7H9O5	-1	12	4.372
cpd02259	4-Hydroxybenzoylformate	C8H5O4	-1	5	-4.369
cpd19041	D-4-Hydroxy-2-oxoglutarate	C5H4O6	-2	9	-4.300
cpd00047	Formate	CHO2	-1	59	-4.298
cpd00443	ABEE	C7H6NO2	-1	7	-4.286
cpd00327	strcoa	C39H66N7O17P3S	-4	9	-4.268
cpd01393	Icosanoyl-CoA	C41H70N7O17P3S	-4	7	4.268
cpd00703	Indoleacetate	C10H8NO2	-1	11	4.267
cpd05264	beta-D-Glucuronic acid	C6H9O7	-1	8	-4.267
cpd01680	N1-Acetylspermine	C12H31N4O	3	5	4.241
cpd00470	N1-Acetylspermidine	C9H23N3O	2	5	-4.241
cpd19019	L-Cystathionine	C7H14N2O4S	0	9	-4.213
cpd00176	2-keto-3-deoxygluconate	C6H9O6	-1	11	4.208
cpd00401	Benzoyl-CoA	C28H36N7O17P3S	-4	16	-4.196
cpd04390	Benzoyl acetyl-CoA	C30H38N7O18P3S	-4	5	4.196
cpd00089	Glucose-1-phosphate	C6H11O9P	-2	26	4.124
cpd00215	Pyridoxal	C8H9NO3	0	11	4.075
cpd19036	beta-D-Fructose 1,6-bisphosphate	C6H10O12P2	-4	9	-4.031
cpd00221	D-Lactate	C3H5O3	-1	8	-4.003
cpd00080	Glycerol-3-phosphate	C3H7O6P	-2	19	3.985
cpd00802	D-fructose-1-phosphate	C6H11O9P	-2	7	3.979
cpd03671	D-Glucosamine1-phosphate	C6H13NO8P	-1	5	-3.948
cpd00192	4-Coumaroyl-CoA	C30H38N7O18P3S	-4	28	3.943
cpd00815	2-Oxo-5-aminovalerate	C5H9NO3	0	6	3.900
cpd00284	6-Phospho-D-gluconate	C6H10O10P	-3	19	-3.896
cpd00345	5-Methyltetrahydrofolate	C20H23N7O6	-2	13	-3.889
cpd00910	Galactinol	C12H22O11	0	11	-3.886
cpd19043	(S)-3-Hydroxyisobutyrate	C4H7O3	-1	5	-3.862
cpd03117	3-Oxododecanoyl-CoA	C33H52N7O18P3S	-4	6	3.853
