rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon
rxn31870	5,10-methylenetetrahydrofolate reductase (FADH)-(NADP)	1.5.1.20	-8.930	8.850	-17.780	17.780	(1) NADPH[0] + (1) H+[0] + (1) 5-10-Methylenetetrahydrofolate[0] <=> (1) NADP[0] + (1) 5-Methyltetrahydrofolate[0]	h;mthf;nadp;nadph	-1.000	-8.000	5	21
rxn32421	Phosphoenolpyruvate carboxylase	4.1.1.31	-8.730	8.940	-17.670	17.670	(1) H2O[0] + (1) CO2[0] + (1) Phosphoenolpyruvate[0] <=> (1) Phosphate[0] + (1) Oxaloacetate[0] + (1) H+[0]	co2;h;h2o;pi	1.000	0.000	6	4
rxn40339	3-O-[alpha-L-Rha-(1->4)-[alpha-L-Rha-(1->2)]-beta-D-Glc]diosgenin hydrolase (diosgenin-forming)	3.2.1.189	-9.110	8.520	-17.630	17.630	(3) H2O[0] + (1) Dioscin[0] => (1) D-Glucose[0] + (2) L-Rhamnose[0] + (1) Diosgenin[0]	h2o	0.000	0.000	5	45
rxn03045	diethyl-(2R,3R)-2-methyl-3-hydroxysuccinate:NADP+ 3-oxidoreductase	1.1.1.229	0.840	18.460	-17.620	17.620	(1) NADP[0] + (1) Diethyl (2R,3R)-2-methyl-3-hydroxysuccinate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Diethyl oxalpropionate[0]	h;nadp;nadph	1.000	8.000	5	21
rxn16162	dihydrokalafungin-dihydroquinone,FMNH2:oxygen oxidoreductase (hydroxylating)	1.14.14.-	-101.990	-84.370	-17.620	17.620	(1) O2[0] + (1) FMNH2[0] + (1) Dihydrokalafungin dihydroquinone form[0] => (1) H2O[0] + (1) FMN[0] + (1) DHK-OH[0]	fmn;fmnh2;h2o;o2	0.000	0.000	6	17
rxn16003	R09141	1.14.13.-	-100.020	-82.470	-17.550	17.550	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) TCE[0] => (1) H2O[0] + (1) NAD[0] + (1) TCE epoxide[0]	h;h2o;nad;nadh;o2	-1.000	-4.000	7	21
rxn16536	4,4'-diapophytoene:FAD oxidoreductase	1.3.8.2	42.650	25.160	17.490	17.490	(4) FAD[0] + (1) Dehydrosqualene[0] <= (4) FADH2[0] + (1) 4,4'-Diapolycopene[0]	fad;fadh2	0.000	0.000	4	30
rxn03485	2-hydroxy-2H-chromene-2-carboxylate---(3E)-4-(2-hydroxyphenyl)-2-oxobut-3-enoate isomerase	5.3.99.-;5.99.1.4	-15.570	1.890	-17.460	17.460	(1) trans-O-Hydroxybenzylidenepyruvate[0] => (1) 2-Hydroxychromene-2-carboxylate[0]		0.000	0.000	2	10
rxn04742	R06933	5.3.99.-	15.560	-1.900	17.460	17.460	(1) 2-Hydroxy-7-hydroxymethylchromene-2-carboxylate[0] <= (1) 2-Hydroxy-4-hydroxymethylbenzalpyruvate[0]		0.000	0.000	2	11
rxn02643	(24R,24'R)-Fucosterol-epoxide acetaldehyde-lyase	4.1.2.33	5.250	-12.170	17.420	17.420	(1) (24R,28R)-Fucosterol epoxide[0] <=> (1) Acetaldehyde[0] + (1) Desmosterol[0]		0.000	0.000	3	29
