compound	name	formula	charge	n_reactions	offset	abs_offset	mass	eq_uncertainty	heavy_atoms	n_rings	n_arom_atoms	n_conj_bonds	frac_conj	n_stereo	n_rotatable	logp	n_distinct_r1_frags	frag_failures
cpd03123	3-Oxohexanoyl-CoA	C27H40N7O18P3S	-4	6	11.6500	11.6500	876.0000		56	3	9	15	0.2586	7	23	-3.1040	32	0
cpd02305	HPL	C9H9O4	-1	5	-11.6320	11.6320	181.0000	0.6501	13	1	6	9	0.6923	1	3	-0.9545	10	0
cpd00264	Spermidine	C7H22N3	3	13	11.6300	11.6300	148.0000	1.5003	10	0	0	0	0.0000	0	7	-2.7961	5	0
cpd00262	Oxalyl-CoA	C23H31N7O19P3S	-5	5	-11.5990	11.5990	835.0000	1.9278	53	3	9	19	0.3455	7	19	-6.1134	33	0
cpd00477	N-Acetyl-L-glutamate	C7H9NO5	-2	5	-11.5780	11.5780	187.0000	0.7654	13	0	0	6	0.5000	1	5	-3.2289	8	0
cpd00365	Retinol	C20H30O	0	10	-11.4800	11.4800	286.0000	2.7624	21	1	0	9	0.4286	0	5	5.5103	15	8
cpd00456	3-Hydroxybenzoate	C7H5O3	-1	8	-11.4610	11.4610	137.0000	0.6424	10	1	6	10	1.0000	0	1	-0.2443	7	0
cpd00051	L-Arginine	C6H15N4O2	1	42	-11.4000	11.4000	175.0000		12	0	0	5	0.4545	1	5	-5.2096	11	0
cpd02125	Tiglyl-CoA	C26H38N7O17P3S	-4	5	11.3620	11.3620	846.0000	2.1172	54	3	9	18	0.3214	7	20	-2.8971	33	0
cpd01964	3-Hydroxybenzaldehyde	C7H6O2	0	5	-11.2340	11.2340	122.0000	0.7461	9	1	6	9	1.0000	0	1	1.2047	6	0
cpd00320	D-Aspartate	C4H6NO4	-1	5	-11.0900	11.0900	132.0000	0.3668	9	0	0	4	0.5000	1	3	-4.5132	6	0
cpd00486	Indoleacetaldehyde	C10H9NO	0	13	11.0400	11.0400	159.0000	1.0232	12	2	9	10	0.7692	0	2	1.9093	9	0
cpd19030	(R)-2,3-Dihydroxy-3-methylbutanoate	C5H9O4	-1	7	-11.0180	11.0180	134.0000	0.3805	9	0	0	2	0.2500	1	2	-2.1319	7	0
cpd02597	cis-2-Methylaconitate	C7H5O6	-3	9	-10.9990	10.9990	185.0000	0.7894	13	0	0	9	0.7500	0	4	-4.0573	6	0
cpd02691	2-methyl-3-hydroxy-butyryl-CoA	C26H40N7O18P3S	-4	8	10.9520	10.9520	864.0000		55	3	9	15	0.2632	9	21	-3.8464	32	0
cpd01722	p-Coumaryl alcohol	C9H10O2	0	5	10.8790	10.8790	150.0000	0.7437	11	1	6	9	0.8182	0	2	1.3977	8	0
cpd03845	beta-Cellobiose	C12H22O11	0	7	10.8700	10.8700	342.0000	0.5098	23	2	0	0	0.0000	10	4	-5.3972	7	0
cpd11255	1,2-dihydroxy-3-keto-5-methylthiopentene	C6H10O3S	0	6	10.6150	10.6150	161.0000		10	0	0	3	0.3333	0	5	-0.1300	8	0
cpd02103	N2-Succinyl-L-arginine	C10H17N4O5	-1	8	-10.5660	10.5660	273.0000	1.3931	19	0	0	9	0.5000	1	9	-5.8052	11	0
cpd00260	Isocitrate	C6H5O7	-3	24	-10.3480	10.3480	189.0000	0.2794	13	0	0	6	0.5000	2	5	-5.3967	7	0
cpd02120	Dihydrodipicolinate	C7H5NO4	-2	6	10.2990	10.2990	167.0000		12	1	0	8	0.6667	1	2	-2.7443	9	0
cpd09576	Paraxanthine	C7H8N4O2	0	5	-10.2720	10.2720	180.0000	0.9551	13	2	9	12	0.8571	0	0	-1.0397	10	0
cpd02812	D-erythro-Isocitric acid	C6H5O7	-3	8	-10.2350	10.2350	189.0000	0.4890	13	0	0	6	0.5000	2	5	-5.3967	7	0
cpd01059	Ferulate	C10H9O4	-1	6	-10.2320	10.2320	193.0000	1.1321	14	1	6	13	0.9286	0	3	0.1639	11	0
cpd01693	6-Phosphosucrose	C12H21O14P	-2	5	10.2180	10.2180	421.0000	0.6277	27	2	0	0	0.0000	9	7	-6.5426	12	0
cpd00041	L-Aspartate	C4H6NO4	-1	45	-10.2080	10.2080	132.0000		9	0	0	4	0.5000	1	3	-4.5132	6	0
cpd03709	Salicylaldehyde	C7H6O2	0	8	-10.1820	10.1820	122.0000	0.6718	9	1	6	9	1.0000	0	1	1.2047	6	0
cpd00158	CELB	C12H22O11	0	9	10.1700	10.1700	342.0000	0.5385	23	2	0	0	0.0000	10	4	-5.3972	8	0
cpd00180	Oxalate	C2O4	-2	8	-10.1330	10.1330	88.0000	0.7141	6	0	0	5	1.0000	0	0	-3.5138	3	0
cpd03129	(2E)-Decenoyl-CoA	C31H48N7O17P3S	-4	8	10.1320	10.1320	916.0000		59	3	9	18	0.2951	7	26	-0.9466	33	0
cpd01135	Taxifolin	C15H12O7	0	7	-10.0660	10.0660	304.0000	3.1521	22	3	12	19	0.7917	2	1	1.1863	12	0
cpd00422	Cinnamoyl-CoA	C30H38N7O17P3S	-4	5	10.0370	10.0370	894.0000		58	4	15	25	0.4098	7	21	-2.1499	35	0
cpd00398	Naringenin	C15H12O5	0	5	9.9970	9.9970	272.0000	2.6873	20	3	12	18	0.8182	1	1	2.5099	11	0
cpd00599	SALC	C7H5O3	-1	15	-9.9770	9.9770	137.0000	0.6424	10	1	6	10	1.0000	0	1	-0.2443	7	0
cpd00023	L-Glutamate	C5H8NO4	-1	199	-9.9670	9.9670	146.0000		10	0	0	4	0.4444	1	4	-4.1231	6	0
cpd00146	Carbamoylphosphate	CH2NO5P	-2	11	-9.9140	9.9140	140.0000	0.7111	8	0	0	3	0.4286	0	1	-2.0896	7	0
cpd00353	D-threo-Isocitric acid	C6H5O7	-3	21	-9.8450	9.8450	189.0000	0.4890	13	0	0	6	0.5000	2	5	-5.3967	7	0
cpd00699	5-Dehydroquinate	C7H9O6	-1	10	-9.8000	9.8000	189.0000	1.4710	13	1	0	2	0.1538	3	1	-3.4479	8	0
cpd00565	Coniferin	C16H22O8	0	5	9.7100	9.7100	342.0000	1.8173	24	2	6	10	0.4000	5	6	-1.1206	13	0
cpd01260	Lauroyl-CoA	C33H54N7O17P3S	-4	12	-9.6640	9.6640	946.0000		61	3	9	15	0.2381	7	29	0.0576	31	0
cpd03333	Sinapaldehyde	C11H12O4	0	5	9.6190	9.6190	208.0000	1.8814	15	1	6	13	0.8667	0	4	1.6215	10	0
cpd00127	Phenol	C6H6O	0	7	-9.5440	9.5440	94.0000		7	1	6	7	1.0000	0	0	1.3922	3	0
cpd02124	2-Methylacetoacetyl-CoA	C26H38N7O18P3S	-4	6	9.5340	9.5340	862.0000	2.0086	55	3	9	15	0.2632	8	21	-3.6382	33	0
cpd00078	Succinyl-CoA	C25H35N7O19P3S	-5	33	-9.5250	9.5250	863.0000		55	3	9	17	0.2982	7	22	-5.3332	33	0
cpd01419	Ureidoglycine	C3H7N3O3	0	5	-9.5020	9.5020	133.0000	0.8903	9	0	0	5	0.6250	1	2	-4.0274	8	0
cpd02569	2-Oxo-3-hydroxyisovalerate	C5H7O4	-1	9	-9.4430	9.4430	131.0000	0.4102	9	0	0	4	0.5000	0	2	-1.9237	7	0
cpd09804	2-Naphthoic acid	C11H7O2	-1	5	-9.4390	9.4390	171.0000	1.3556	13	2	10	14	1.0000	0	1	1.2033	6	0
