family	n	r_gc_eq	rho_gc_eq	mad_gc_eq	n_gc_eq	null_r_gc_eq	excess_gc_eq	p_gc_eq	r_gc_dgp	rho_gc_dgp	mad_gc_dgp	n_gc_dgp	null_r_gc_dgp	excess_gc_dgp	p_gc_dgp	r_eq_dgp	rho_eq_dgp	mad_eq_dgp	n_eq_dgp	null_r_eq_dgp	excess_eq_dgp	p_eq_dgp	median_abs_dg_gc	iqr_dg_gc
KEGG: single id	8311	0.8346	0.7117	3.0400	8311	0.8351	-0.0005	0.9775	0.7438	0.6282	5.5000	8311	0.7463	-0.0025	0.9600	0.6844	0.6917	3.1800	8311	0.6865	-0.0020	0.9275	7.2200	16.5500
ALL (3-source)	8359	0.8339	0.7117	3.0400	8359	0.8362	-0.0023	0.8850	0.7428	0.6256	5.5000	8359	0.7510	-0.0082	0.8550	0.6844	0.6894	3.1800	8359	0.6856	-0.0013	0.9675	7.2200	16.4750
non-transport	8359	0.8339	0.7117	3.0400	8359	0.8349	-0.0010	0.9125	0.7428	0.6256	5.5000	8359	0.7539	-0.0111	0.8350	0.6844	0.6894	3.1800	8359	0.6888	-0.0044	0.8850	7.2200	16.4750
formula: fully specified	8359	0.8339	0.7117	3.0400	8359	0.8348	-0.0009	0.9300	0.7428	0.6256	5.5000	8359	0.7496	-0.0068	0.8450	0.6844	0.6894	3.1800	8359	0.6869	-0.0026	0.9225	7.2200	16.4750
no metal	8359	0.8339	0.7117	3.0400	8359	0.8354	-0.0015	0.9100	0.7428	0.6256	5.5000	8359	0.7582	-0.0154	0.7975	0.6844	0.6894	3.1800	8359	0.6864	-0.0020	0.9450	7.2200	16.4750
KEGG map vouched by MSDB alias	8359	0.8339	0.7117	3.0400	8359	0.8353	-0.0014	0.9000	0.7428	0.6256	5.5000	8359	0.7543	-0.0115	0.8400	0.6844	0.6894	3.1800	8359	0.6858	-0.0014	0.9650	7.2200	16.4750
structures: all participants have SMILES	8359	0.8339	0.7117	3.0400	8359	0.8356	-0.0017	0.9125	0.7428	0.6256	5.5000	8359	0.7552	-0.0124	0.8650	0.6844	0.6894	3.1800	8359	0.6856	-0.0012	0.9600	7.2200	16.4750
max carbon > 20	3618	0.9099	0.8270	2.5000	3618	0.8670	0.0430	0.0000	0.7420	0.6938	4.5900	3618	0.7969	-0.0549	0.7425	0.7327	0.7077	3.9400	3618	0.7316	0.0012	0.9800	7.2200	23.8500
max mass > 500 Da	4402	0.8557	0.7657	2.5800	4402	0.8491	0.0065	0.6200	0.7412	0.6486	5.0600	4402	0.7952	-0.0540	0.6125	0.7247	0.6943	3.1100	4402	0.7128	0.0119	0.7975	7.3700	17.3350
>=4 group types change	2892	0.9133	0.8219	2.5800	2892	0.8939	0.0194	0.1000	0.7403	0.7590	4.6000	2892	0.8390	-0.0987	0.1450	0.7814	0.7824	3.8350	2892	0.7688	0.0126	0.7575	8.6900	39.9850
group present: phosphoanhydride	4492	0.8498	0.7814	2.7100	4492	0.8454	0.0045	0.7450	0.7376	0.6803	4.9600	4492	0.7876	-0.0499	0.7225	0.7139	0.7256	2.9700	4492	0.7111	0.0028	0.9450	8.9200	18.6100
no halogen	8248	0.8309	0.7089	3.0100	8248	0.8322	-0.0012	0.9250	0.7365	0.6204	5.4200	8248	0.7485	-0.0119	0.8375	0.6786	0.6906	3.1550	8248	0.6833	-0.0047	0.8850	7.2200	15.5850
group present: carboxylate	4232	0.8429	0.6792	2.6050	4232	0.8410	0.0018	0.9125	0.7279	0.5892	4.7850	4232	0.7696	-0.0417	0.7825	0.7623	0.6792	3.1700	4232	0.6923	0.0701	0.0925	6.2200	13.3750
