rxn	name	kegg_ids_staged	kegg_ids_alias	kegg_max_reuse	vouched	participant_overlap	dg_dgpredictor	keep	reason
rxn15835	L-idonate:NADP+ 2-oxidoreductase	R08880	R08880	23	1	0.500	2.42	1	kegg_id_is_modelseed_alias
rxn15842	R08887	R08887	R08887	1	1		-11.4	1	kegg_id_is_modelseed_alias
rxn15844	L-glutamine:2-deoxy-scyllo-inosose aminotransferase	R08890	R08890	1	1	0.750	3.62	1	kegg_id_is_modelseed_alias
rxn15845	L-glutamine:3-amino-2,3-dideoxy-scyllo-inosose aminotransferase	R08891	R08891	1	1	0.750	-2.7	1	kegg_id_is_modelseed_alias
rxn15846	2-deoxy-scyllo-inosamine:NAD+ oxidoreductase	R08892	R08892	1	1	0.500	8.51	1	kegg_id_is_modelseed_alias
rxn15847	2-deoxy-scyllo-inosamine:S-adenosyl-L-methionine oxidoreductase (S-adenosyl-L-methionine cleaving)	R08893	R08893	1	1	0.800	-1.69	1	kegg_id_is_modelseed_alias
rxn15848	UDP-N-acetyl-D-glucosamine:2-deoxystreptamine N-acetyl-D-glucosaminyltransferase	R08894	R08894	1	1	0.750	-10.79	1	kegg_id_is_modelseed_alias
rxn15849	2'-N-acetylparomamine acetylhydrolase	R08895	R08895	1	1	1.000	-2.05	1	kegg_id_is_modelseed_alias
rxn15850	paromamine:oxygen oxidoreductase	R08896	R08896	1	1	0.667	-25.19	1	kegg_id_is_modelseed_alias
rxn15851	L-glutamine:6'-dehydro-6'-oxoparomamine aminotransferase	R08897	R08897	2	1	0.500	4.0	1	kegg_id_is_modelseed_alias
rxn15852	5-phospho-alpha-D-ribose 1-diphosphate:neamine phosphoribosyltransferase	R08898	R08898	1	1	0.667	-6.79	1	kegg_id_is_modelseed_alias
rxn15853	5''-phosphoribostamycin phosphohydrolase	R08899	R08899	1	1	0.500	-5.1	1	kegg_id_is_modelseed_alias
rxn15854	UDP-N-acetyl-D-glucosamine:ribostamycin N-acetyl-D-glucosaminyltransferase	R08900	R08900	58	1	0.500	-8.74	1	kegg_id_is_modelseed_alias
rxn15855	2'''-N-acetyl-6'''-deamino-6'''-hydroxyneomycin C acetylhydrolase	R08901	R08901	1	1	1.000	-7.09	1	kegg_id_is_modelseed_alias
rxn15856	6'''-deamino-6'''-hydroxyneomycin C:oxygen oxidoreductase	R08902	R08902	1	1	0.333	-25.01	1	kegg_id_is_modelseed_alias
rxn15857	L-glutamine:6'''-deamino-6'''-dehydro-6'''-oxoneomycin-C aminotransferase	R08903	R08903	3	1	0.250	2.44	1	kegg_id_is_modelseed_alias
