rxn	name	ec	status	equation	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	dg_range3	n_participants	sum_abs_coeff	max_mass	max_carbon	elements	cofactors	n_kegg_with_dg	kegg_spread_kcal	all_have_smiles	n_generic_formula	total_rings	total_arom_rings	n_groups_changed	is_transport
rxn25846	RXN-9800.x	2.3.1.65	OK	(1) cpd00210[0] + (1) cpd01237[0] => (1) cpd00010[0] + (1) cpd00067[0] + (1) cpd03047[0]	(1) Taurine[0] + (1) Choloyl-CoA[0] => (1) CoA[0] + (1) H+[0] + (1) Taurocholate[0]	-5.290	-6.640	-86.810	81.520	81.520	5	5.000	1154.000	45	C;H;N;O;P;S	coa;h	1	0.000	1	0	14	4	4	0
rxn02640	Choloyl-CoA:glycine N-choloyltransferase	2.3.1.65	OK	(1) cpd00210[0] + (1) cpd01237[0] => (1) cpd00010[0] + (1) cpd00067[0] + (1) cpd03047[0]	(1) Taurine[0] + (1) Choloyl-CoA[0] => (1) CoA[0] + (1) H+[0] + (1) Taurocholate[0]	-5.290	-6.640	-86.810	81.520	81.520	5	5.000	1154.000	45	C;H;N;O;P;S	coa;h	1	0.000	1	0	14	4	4	0
rxn14362	3'-phosphoadenylyl-sulfate:4-methylthiobutyl-desulfoglucosinolate sulfotransferase	2.8.2.-	OK	(1) cpd00044[0] + (1) cpd17437[0] <=> (1) cpd00045[0] + (1) cpd00067[0] + (1) cpd05321[0]	(1) 3-phosphoadenylylsulfate[0] + (1) 4-Methylthiobutyl-desulfoglucosinolate[0] <=> (1) Adenosine 3-5-bisphosphate[0] + (1) H+[0] + (1) Glucoerucin[0]	-14.030	-95.480	-20.140	81.450	81.450	5	5.000	504.000	12	C;H;N;O;P;S	h	1	0.000	1	0	8	4	0	0
rxn11704	R08167	2.8.2.-	OK	(1) cpd00044[0] + (1) cpd16333[0] <=> (1) cpd00045[0] + (1) cpd00067[0] + (1) cpd03467[0]	(1) 3-phosphoadenylylsulfate[0] + (1) Indolylmethyl-desulfoglucosinolate[0] <=> (1) Adenosine 3-5-bisphosphate[0] + (1) H+[0] + (1) Glucobrassicin[0]	-14.030	-95.470	-20.140	81.440	81.440	5	5.000	504.000	16	C;H;N;O;P;S	h	1	0.000	1	0	12	8	0	0
rxn02300	3'-Phosphoadenylylsulfate:desulfoglucosinolate sulfotransferase	2.8.2.24	OK	(1) cpd00044[0] + (1) cpd00787[0] <=> (1) cpd00045[0] + (1) cpd00067[0] + (1) cpd01457[0]	(1) 3-phosphoadenylylsulfate[0] + (1) Desulfoglucotropeolin[0] <=> (1) Adenosine 3-5-bisphosphate[0] + (1) H+[0] + (1) Glucotropeolin[0]	-14.030	-95.470	-20.140	81.440	81.440	5	5.000	504.000	14	C;H;N;O;P;S	h	1	0.000	1	0	10	6	0	0
rxn14025	3'-phosphoadenylyl-sulfate:desulfo-p-hydroxybenzylglucosinolate sulfotransferase	2.8.2.-	OK	(1) cpd00044[0] + (1) cpd17430[0] <=> (1) cpd00045[0] + (1) cpd00067[0] + (1) cpd05337[0]	(1) 3-phosphoadenylylsulfate[0] + (1) p-Hydroxybenzyldesulphoglucosinolate[0] <=> (1) Adenosine 3-5-bisphosphate[0] + (1) H+[0] + (1) Sinalbin[0]	-14.030	-95.470	-20.130	81.440	81.440	5	5.000	504.000	14	C;H;N;O;P;S	h	1	0.000	1	0	10	6	0	0
rxn16630	(2E,6E)-farnesyl-diphosphate diphosphate-lyase (alpha-eudesmol-forming)	4.2.3.85	OK	(1) cpd00001[0] + (1) cpd00350[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd06557[0]	(1) H2O[0] + (1) Farnesyldiphosphate[0] => (1) PPi[0] + (1) H+[0] + (1) alpha-Eudesmol[0]	-60.140	-95.430	-14.360	81.070	81.070	5	5.000	380.000	15	C;H;O;P	h;h2o;ppi	1	0.000	1	0	2	0	2	0
rxn11673	R06585	1.14.13.41	OK	(1) cpd00005[0] + (1) cpd00007[0] + (2) cpd00067[0] + (1) cpd01927[0] => (2) cpd00001[0] + (1) cpd00006[0] + (1) cpd00011[0] + (1) cpd02667[0]	(1) NADPH[0] + (1) O2[0] + (2) H+[0] + (1) N-Hydroxy-L-tyrosine[0] => (2) H2O[0] + (1) NADP[0] + (1) CO2[0] + (1) (Z)-4-Hydroxyphenylacetaldehyde-oxime[0]	-99.350	-180.130	-121.570	80.780	80.780	8	10.000	742.000	21	C;H;N;O;P	co2;h;h2o;nadp;nadph;o2	1	0.000	1	0	12	7	5	0
rxn10475	R08217	2.7.1.-	OK	(1) cpd00002[0] + (1) cpd15828[0] <=> (1) cpd00008[0] + (1) cpd00067[0] + (1) cpd02817[0]	(1) ATP[0] + (1) 7-mercaptoheptanoylthreonine[0] <=> (1) ADP[0] + (1) H+[0] + (1) HTP[0]	-14.030	-2.080	66.150	80.180	80.180	5	5.000	504.000	11	C;H;N;O;P;S	adp;atp;h	1	0.000	1	0	6	4	2	0
rxn07217	acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating, oxoacyl- and enoyl-reducing, thioester-hydrolysing)	2.3.1.161	OK	(11) cpd00005[0] + (1) cpd00017[0] + (1) cpd00022[0] + (18) cpd00067[0] + (8) cpd00070[0] => (6) cpd00001[0] + (11) cpd00006[0] + (9) cpd00010[0] + (8) cpd00011[0] + (1) cpd00019[0] + (1) cpd11211[0]	(11) NADPH[0] + (1) S-Adenosyl-L-methionine[0] + (1) Acetyl-CoA[0] + (18) H+[0] + (8) Malonyl-CoA[0] => (6) H2O[0] + (11) NADP[0] + (9) CoA[0] + (8) CO2[0] + (1) S-Adenosyl-homocysteine[0] + (1) Dihydromonacolin L[0]	-101.270	-181.210	-151.610	79.940	79.940	11	75.000	849.000	24	C;H;N;O;P;S	co2;coa;h;h2o;nadp;nadph;sah;sam	1	0.000	1	0	28	15	9	0
