rxn	name	ec	status	equation	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	dg_range3	n_participants	sum_abs_coeff	max_mass	max_carbon	elements	cofactors	n_kegg_with_dg	kegg_spread_kcal	all_have_smiles	n_generic_formula	total_rings	total_arom_rings	n_groups_changed	is_transport
rxn33559	(R)-Lactaldehyde:NAD+ 2-oxidoreductase	1.2.1.23	OK	(1) cpd00001[0] + (1) cpd00003[0] + (1) cpd00693[0] <=> (1) cpd00004[0] + (2) cpd00067[0] + (1) cpd00221[0]	(1) H2O[0] + (1) NAD[0] + (1) D-Lactaldehyde[0] <=> (1) NADH[0] + (2) H+[0] + (1) D-Lactate[0]	-9.800	-8.410	-7.620	2.180	2.180	6	7.000	663.000	21	C;H;N;O;P	h;h2o;nad;nadh	1	0.000	1	0	10	5	5	0
rxn01991	meso-2,6-diaminoheptanedioate:NADP+ oxidoreductase (deaminating)	1.4.1.16	OK	(1) cpd00001[0] + (1) cpd00006[0] + (1) cpd00516[0] <=> (1) cpd00005[0] + (1) cpd00013[0] + (1) cpd00067[0] + (1) cpd02414[0]	(1) H2O[0] + (1) NADP[0] + (1) meso-2,6-Diaminopimelate[0] <=> (1) NADPH[0] + (1) NH3[0] + (1) H+[0] + (1) L-2-Amino-6-oxopimelate[0]	8.690	7.040	9.220	2.180	2.180	7	7.000	742.000	21	C;H;N;O;P	h;h2o;nadp;nadph;nh3	1	0.000	1	0	10	5	4	0
rxn03566	R05252	1.2.-.-	CI:-2	(3) cpd00067[0] + (1) cpd01582[0] <= (1) cpd00001[0] + (1) cpd04052[0]	(3) H+[0] + (1) 4-Chlorobenzoate[0] <= (1) H2O[0] + (1) 4-Chlorobenzaldehyde[0]	24.600	26.000	26.790	2.190	2.190	4	6.000	155.000	7	C;Cl;H;O	h;h2o	1	0.000	1	0	2	2	2	0
rxn02796	chenodeoxycholoyltaurine amidohydrolase	3.5.1.24;3.5.1.74	OK	(1) cpd00001[0] + (1) cpd03246[0] <=> (1) cpd00210[0] + (1) cpd01663[0]	(1) H2O[0] + (1) Taurochenodeoxycholate[0] <=> (1) Taurine[0] + (1) Chenodiol[0]	-0.460	0.830	1.730	2.190	2.190	4	4.000	498.000	26	C;H;N;O;S	h2o	1	0.000	1	0	8	0	3	0
rxn15898	UDP-L-arabinopyranose furanomutase	5.4.99.30	OK	(1) cpd00691[0] <=> (1) cpd19365[0]	(1) UDP-L-arabinose[0] <=> (1) UDP-L-arabinofuranose[0]	-1.560	0.630	-0.790	2.190	2.190	2	2.000	536.000	14	C;H;N;O;P		1	0.000	1	0	6	2	0	0
rxn40423	anthraniloyl-CoA:methanol O-anthraniloyltransferase	2.3.1.232	OK	(1) cpd00116[0] + (1) cpd01518[0] => (1) cpd00010[0] + (1) cpd31245[0]	(1) Methanol[0] + (1) Anthranilyl-CoA[0] => (1) CoA[0] + (1) O-Methyl anthranilate[0]	-6.860	-4.670	-5.950	2.190	2.190	4	4.000	883.000	28	C;H;N;O;P;S	coa	1	0.000	1	0	8	6	5	0
rxn32113	D-Glucuronolactone:NAD+ oxidoreductase	1.2.1.3	OK	(2) cpd00001[0] + (1) cpd00003[0] + (1) cpd01735[0] => (1) cpd00004[0] + (3) cpd00067[0] + (1) cpd00571[0]	(2) H2O[0] + (1) NAD[0] + (1) Glucurone[0] => (1) NADH[0] + (3) H+[0] + (1) Glucarate[0]	-15.520	-13.800	-13.320	2.200	2.200	6	9.000	663.000	21	C;H;N;O;P	h;h2o;nad;nadh	1	0.000	1	0	11	5	8	0
rxn32117	D-Glucuronolactone:NAD+ oxidoreductase	1.2.1.3	OK	(2) cpd00001[0] + (1) cpd00003[0] + (1) cpd01735[0] => (1) cpd00004[0] + (3) cpd00067[0] + (1) cpd00571[0]	(2) H2O[0] + (1) NAD[0] + (1) Glucurone[0] => (1) NADH[0] + (3) H+[0] + (1) Glucarate[0]	-15.520	-13.800	-13.320	2.200	2.200	6	9.000	663.000	21	C;H;N;O;P	h;h2o;nad;nadh	1	0.000	1	0	11	5	8	0
rxn00655	N-(D-1-carboxyethyl)-beta-alanine:NAD+ oxidoreductase (beta-alanine-forming)	1.5.1.26	OK	(1) cpd00001[0] + (1) cpd00003[0] + (1) cpd01489[0] <=> (1) cpd00004[0] + (1) cpd00020[0] + (1) cpd00067[0] + (1) cpd00085[0]	(1) H2O[0] + (1) NAD[0] + (1) beta-Alanopine[0] <=> (1) NADH[0] + (1) Pyruvate[0] + (1) H+[0] + (1) beta-Alanine[0]	9.210	8.090	10.290	2.200	2.200	7	7.000	663.000	21	C;H;N;O;P	h;h2o;nad;nadh	1	0.000	1	0	10	5	4	0
rxn16337	L-saccharopine:oxygen oxidoreductase (L-glutamate forming)	1.5.3.18	OK	(1) cpd00001[0] + (1) cpd00007[0] + (1) cpd00351[0] => (1) cpd00023[0] + (1) cpd00025[0] + (1) cpd01046[0]	(1) H2O[0] + (1) O2[0] + (1) Saccharopine[0] => (1) L-Glutamate[0] + (1) H2O2[0] + (1) Allysine[0]	-23.500	-23.050	-21.300	2.200	2.200	6	6.000	275.000	11	C;H;N;O	glu;h2o;h2o2;o2	1	0.000	1	0	0	0	1	0
