n	rxns	sd_gc	range_gc	sd_eq	range_eq	sd_dgp	range_dgp	empty_dsig
2	rxn00593;rxn03393	0.000	0.000	0.000	0.000	2.965	5.930	0
2	rxn00592;rxn04734	0.000	0.000	0.190	0.380	1.270	2.540	0
6	rxn00613;rxn00763;rxn00765;rxn37671;rxn37672;rxn40453	0.000	0.000	1.654	4.420	0.984	2.840	0
2	rxn00711;rxn29942	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00710;rxn28054;rxn38244	0.000	0.000	0.000	0.000	0.000	0.000	0
15	rxn00704;rxn00778;rxn01485;rxn01967;rxn02379;rxn12204;rxn15115;rxn15773	0.000	0.000	1.002	2.700	1.837	5.280	0
4	rxn00703;rxn15102;rxn15103;rxn15568	0.000	0.000	0.017	0.040	0.000	0.000	0
28	rxn00698;rxn00699;rxn01132;rxn03634;rxn05025;rxn15097;rxn15098;rxn15100	0.000	0.000	0.527	1.450	3.340	9.950	0
5	rxn00693;rxn03052;rxn32052;rxn35284;rxn35345	0.000	0.000	4.355	8.890	0.318	0.650	0
2	rxn00692;rxn30686	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00691;rxn32191;rxn32194	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00690;rxn30159;rxn31923	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn00684;rxn00686;rxn27793;rxn30104	0.000	0.000	0.000	0.000	0.251	0.580	0
4	rxn00649;rxn19041;rxn19042;rxn32343	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00675;rxn35424	0.000	0.000	0.000	0.000	0.000	0.000	0
23	rxn00674;rxn00873;rxn00947;rxn00988;rxn01168;rxn01946;rxn02014;rxn02296	0.000	0.000	1.809	7.860	2.165	10.830	0
3	rxn00672;rxn03674;rxn15539	0.000	0.000	0.971	2.060	0.999	2.120	0
3	rxn00671;rxn15094;rxn35548	0.000	0.000	0.028	0.060	1.037	2.200	0
4	rxn00670;rxn00871;rxn28106;rxn28107	0.000	0.000	0.316	0.730	1.173	2.710	0
7	rxn00659;rxn00661;rxn00864;rxn09177;rxn12512;rxn39999;rxn40000	0.000	0.000	2.511	8.190	2.931	6.900	0
3	rxn00657;rxn23816;rxn28267	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn00656;rxn17652;rxn32229;rxn32234	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00655;rxn01232	0.000	0.000	0.725	1.450	0.665	1.330	0
5	rxn00650;rxn03427;rxn30878;rxn32989;rxn32991	0.000	0.000	0.856	2.140	0.000	0.000	0
3	rxn00680;rxn15092;rxn15093	0.000	0.000	1.062	2.590	0.000	0.000	0
4	rxn00141;rxn27683;rxn30600;rxn33400	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn00140;rxn00920;rxn35432;rxn35440	0.000	0.000	0.655	1.310	0.005	0.010	0
2	rxn00139;rxn38024	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn00138;rxn30039;rxn30193;rxn30412;rxn32216	0.000	0.000	0.000	0.000	0.000	0.000	0
82	rxn00134;rxn00216;rxn00365;rxn00547;rxn00709;rxn00772;rxn00835;rxn00841	0.000	0.000	1.057	5.640	2.052	8.700	0
3	rxn00133;rxn00918;rxn02020	0.000	0.000	1.186	2.900	0.005	0.010	0
70	rxn00132;rxn00220;rxn00363;rxn00578;rxn00708;rxn00831;rxn00913;rxn01145	0.000	0.000	1.434	7.830	2.677	29.120	0
16	rxn00131;rxn00143;rxn00927;rxn07861;rxn07862;rxn07869;rxn15018;rxn15162	0.000	0.000	2.328	5.670	2.492	7.770	0
2	rxn00129;rxn15017	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00383;rxn27265;rxn32966	0.000	0.000	0.000	0.000	0.000	0.000	0
17	rxn00127;rxn00194;rxn00313;rxn00322;rxn00405;rxn00458;rxn00470;rxn07465	0.000	0.000	2.267	6.430	0.985	3.480	0
2	rxn00126;rxn28979	0.000	0.000	0.000	0.000	0.000	0.000	0
8	rxn00124;rxn01396;rxn01807;rxn02484;rxn28046;rxn38691;rxn38692;rxn38694	0.000	0.000	0.665	1.690	0.206	0.540	0
2	rxn00123;rxn33691	0.000	0.000	0.845	1.690	0.730	1.460	0
17	rxn00120;rxn00513;rxn01677;rxn38188;rxn38190;rxn38196;rxn38198;rxn38204	0.000	0.000	0.533	1.550	0.053	0.230	0
6	rxn00118;rxn05021;rxn07476;rxn16691;rxn26064;rxn39801	0.000	0.000	26.041	56.240	5.450	12.330	0
14	rxn00117;rxn00515;rxn01678;rxn02517;rxn19645;rxn20461;rxn27842;rxn27843	0.000	0.000	0.613	1.550	0.095	0.220	0
3	rxn33768;rxn33769;rxn33789	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn40371;rxn40372	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn40314;rxn40315	0.000	0.000	0.000	0.000	1.410	2.820	0
5	rxn00128;rxn27619;rxn33519;rxn37998;rxn37999	0.000	0.000	0.000	0.000	0.000	0.000	0
6	rxn00181;rxn01100;rxn02812;rxn20544;rxn38256;rxn38257	0.000	0.000	0.515	1.400	0.983	2.410	0
13	rxn00179;rxn00337;rxn00985;rxn01236;rxn01917;rxn27669;rxn27724;rxn28090	0.000	0.000	1.205	3.580	2.170	5.460	0
4	rxn00178;rxn19031;rxn31209;rxn31210	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00177;rxn40417	0.000	0.000	0.000	0.000	3.500	7.000	0
3	rxn00176;rxn31208;rxn33484	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn00175;rxn27659;rxn27660;rxn30338	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00174;rxn27986;rxn32740	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn00173;rxn20541;rxn28067;rxn28068;rxn34298	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn00172;rxn27657;rxn27658;rxn31758	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00144;rxn15019;rxn30005	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00170;rxn30335	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00168;rxn24132;rxn28118	0.000	0.000	0.000	0.000	0.000	0.000	0
8	rxn00165;rxn00166;rxn30060;rxn30061;rxn32727;rxn32961;rxn35215;rxn35580	0.000	0.000	0.063	0.130	1.689	5.340	0
8	rxn00159;rxn00160;rxn00161;rxn27459;rxn27982;rxn27983;rxn31389;rxn37872	0.000	0.000	0.714	2.160	0.941	3.060	0
2	rxn00157;rxn28121	0.000	0.000	0.000	0.000	0.000	0.000	0
6	rxn00154;rxn00155;rxn20656;rxn30418;rxn33851;rxn33852	0.000	0.000	0.000	0.000	0.290	0.580	0
2	rxn00151;rxn20655	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00149;rxn00150;rxn38862	0.000	0.000	0.000	0.000	0.278	0.590	0
4	rxn00148;rxn00840;rxn20509;rxn32700	0.000	0.000	0.370	0.740	0.000	0.000	0
2	rxn00147;rxn33266	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn00171;rxn27656;rxn32710;rxn32711	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn33228;rxn33239;rxn38105;rxn38106	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn32775;rxn35430;rxn35442	0.000	0.000	0.570	1.210	0.000	0.000	0
6	rxn32380;rxn32382;rxn32383;rxn32385;rxn32386;rxn39892	0.000	0.000	0.253	0.680	2.236	6.000	0
2	rxn32321;rxn32324	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn32258;rxn32262;rxn32291	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn32166;rxn32381;rxn34009	0.000	0.000	0.000	0.000	0.278	0.590	0
3	rxn25625;rxn25626;rxn40152	0.000	0.000	0.000	0.000	1.805	3.830	0
6	rxn00039;rxn14211;rxn15012;rxn15013;rxn15806;rxn15807	0.000	0.000	0.191	0.410	0.735	1.470	0
3	rxn00036;rxn13968;rxn14223	0.000	0.000	0.031	0.070	3.505	7.580	0
4	rxn40274;rxn40303;rxn40310;rxn40313	0.000	0.000	0.155	0.310	0.413	1.050	0
3	rxn00021;rxn15008;rxn15009	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00018;rxn38286	0.000	0.000	0.000	0.000	0.000	0.000	0
52	rxn00016;rxn00020;rxn00022;rxn00222;rxn00607;rxn00608;rxn00816;rxn00890	0.000	0.000	23.465	102.510	4.381	21.080	0
2	rxn00015;rxn30077	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn00012;rxn15003;rxn15004;rxn23731;rxn38360	0.000	0.000	0.160	0.400	0.000	0.000	0
3	rxn00009;rxn33150;rxn33152	0.000	0.000	0.000	0.000	0.000	0.000	0
10	rxn00007;rxn00606;rxn02704;rxn15002;rxn15073;rxn15431;rxn15432;rxn29977	0.000	0.000	0.801	2.900	0.010	0.030	0
5	rxn00006;rxn19264;rxn22404;rxn27744;rxn31381	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00003;rxn15021;rxn30144	0.000	0.000	0.000	0.000	2.555	5.420	0
3	rxn00002;rxn30346;rxn35525	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00029;rxn28081	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn40268;rxn40269	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn40223;rxn40235	0.000	0.000	0.000	0.000	0.290	0.580	0
2	rxn40157;rxn40158	0.000	0.000	0.010	0.020	2.335	4.670	0
2	rxn40055;rxn40056	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn39957;rxn40208	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn39849;rxn39850	0.000	0.000	0.190	0.380	1.720	3.440	0
3	rxn39822;rxn39823;rxn39824	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn39754;rxn39757	0.000	0.000	0.005	0.010	0.850	1.700	0
2	rxn39715;rxn39716	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn39707;rxn39708	0.000	0.000	0.000	0.000	1.310	2.620	0
2	rxn33360;rxn33373	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn39702;rxn39703	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn39451;rxn39452	0.000	0.000	0.000	0.000	0.290	0.580	0
2	rxn39420;rxn39421	0.000	0.000	0.000	0.000	0.290	0.580	0
4	rxn38315;rxn38316;rxn38317;rxn38318	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn38079;rxn38395;rxn38437	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn37186;rxn37187	0.000	0.000	0.005	0.010	0.585	1.170	0
2	rxn35427;rxn40050	0.000	0.000	0.005	0.010	0.295	0.590	0
2	rxn35242;rxn35439	0.000	0.000	0.370	0.740	0.000	0.000	0
2	rxn34246;rxn35246	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn40429;rxn40430	0.000	0.000	0.195	0.390	9.355	18.710	0
2	rxn39704;rxn39705	0.000	0.000	0.000	0.000	1.305	2.610	0
4	rxn00327;rxn27427;rxn27428;rxn30069	0.000	0.000	0.000	0.000	0.000	0.000	0
6	rxn00324;rxn00512;rxn27915;rxn31400;rxn32871;rxn34300	0.000	0.000	0.000	0.000	0.290	0.580	0
10	rxn00318;rxn00658;rxn00857;rxn01632;rxn02847;rxn02915;rxn05052;rxn05053	0.000	0.000	1.172	3.690	4.855	13.040	0
7	rxn00316;rxn00855;rxn01551;rxn02084;rxn04787;rxn40476;rxn40477	0.000	0.000	0.324	0.900	0.790	2.180	0
3	rxn00314;rxn00402;rxn02650	0.000	0.000	0.977	2.130	1.771	3.880	0
3	rxn00312;rxn00401;rxn30616	0.000	0.000	2.418	5.130	0.000	0.000	0
6	rxn00311;rxn14082;rxn17089;rxn30789;rxn31860;rxn31864	0.000	0.000	0.236	0.500	0.712	1.510	0
3	rxn00306;rxn01732;rxn27228	0.000	0.000	0.476	1.010	0.108	0.230	0
4	rxn00304;rxn00411;rxn01354;rxn32979	0.000	0.000	0.495	1.210	0.009	0.020	0
10	rxn00182;rxn00184;rxn01991;rxn19827;rxn27887;rxn30023;rxn30075;rxn34790	0.000	0.000	0.502	1.680	0.284	0.580	0
2	rxn00300;rxn32287	0.000	0.000	0.000	0.000	0.000	0.000	0
16	rxn00291;rxn00350;rxn00660;rxn00865;rxn01973;rxn02727;rxn02766;rxn15436	0.000	0.000	2.092	7.060	2.609	6.920	0
4	rxn00289;rxn30406;rxn31857;rxn31866	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00288;rxn30176;rxn34271	0.000	0.000	0.000	0.000	0.000	0.000	0
43	rxn00287;rxn00943;rxn00989;rxn01502;rxn03325;rxn05048;rxn05049;rxn08444	0.000	0.000	0.906	4.350	3.756	22.680	0
9	rxn00285;rxn00669;rxn00934;rxn01730;rxn01731;rxn04262;rxn25548;rxn28991	0.000	0.000	1.551	5.220	1.138	4.110	0
2	rxn00284;rxn27866	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00278;rxn30302	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00275;rxn27909;rxn32307	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00274;rxn35211	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00303;rxn33193	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00380;rxn27260	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00379;rxn27259;rxn33490	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00377;rxn32820;rxn38706	0.000	0.000	0.000	0.000	0.000	0.000	0
6	rxn00375;rxn00376;rxn00455;rxn32730;rxn32731;rxn32757	0.000	0.000	0.616	1.930	3.793	9.890	0
6	rxn00374;rxn30669;rxn33524;rxn34213;rxn35245;rxn35315	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00373;rxn34248	0.000	0.000	0.000	0.000	0.000	0.000	0
17	rxn00368;rxn00518;rxn00635;rxn00707;rxn00712;rxn00715;rxn00976;rxn01442	0.000	0.000	0.729	2.820	0.403	1.350	0
4	rxn00362;rxn01541;rxn15049;rxn15306	0.000	0.000	1.557	3.610	0.010	0.020	0
5	rxn00359;rxn00381;rxn19073;rxn32779;rxn32985	0.000	0.000	0.078	0.160	0.010	0.020	0
13	rxn00357;rxn00369;rxn00713;rxn01370;rxn01510;rxn01515;rxn01516;rxn01674	0.000	0.000	20.254	58.120	0.742	2.860	0
7	rxn00328;rxn15044;rxn18964;rxn33237;rxn33258;rxn33259;rxn40125	0.000	0.000	0.086	0.190	0.432	0.980	0
2	rxn00352;rxn04927	0.000	0.000	0.275	0.550	2.780	5.560	0
2	rxn00351;rxn27892	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00347;rxn29994	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00346;rxn02913	0.000	0.000	0.090	0.180	1.240	2.480	0
10	rxn00345;rxn00469;rxn01972;rxn03947;rxn15972;rxn16642;rxn25582;rxn27670	0.000	0.000	1.901	5.110	3.085	11.540	0
2	rxn00340;rxn29993	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00338;rxn20003	0.000	0.000	0.000	0.000	0.000	0.000	0
9	rxn00336;rxn15045;rxn15046;rxn19941;rxn27953;rxn33532;rxn33534;rxn33880	0.000	0.000	0.149	0.300	0.000	0.000	0
3	rxn00335;rxn16563;rxn16564	0.000	0.000	0.707	1.500	0.820	1.800	0
5	rxn00333;rxn25769;rxn31214;rxn32255;rxn34231	0.000	0.000	0.000	0.000	0.000	0.000	0
54	rxn00356;rxn00888;rxn00896;rxn03011;rxn03166;rxn03408;rxn03852;rxn03933	0.000	0.000	0.789	4.230	3.853	17.650	0
10	rxn00218;rxn00810;rxn00813;rxn07490;rxn15025;rxn15026;rxn15124;rxn15125	0.000	0.000	0.561	1.660	3.057	6.970	0
27	rxn00217;rxn00604;rxn00812;rxn01108;rxn01109;rxn01975;rxn02560;rxn02770	0.000	0.000	1.486	6.280	2.371	7.040	0
12	rxn00215;rxn00642;rxn01997;rxn16543;rxn23510;rxn30661;rxn30677;rxn31097	0.000	0.000	1.658	3.940	1.458	4.080	0
11	rxn00213;rxn00293;rxn00355;rxn01005;rxn01074;rxn06306;rxn17713;rxn28025	0.000	0.000	0.462	1.100	1.159	2.400	0
6	rxn00211;rxn00298;rxn00354;rxn00638;rxn02377;rxn04703	0.000	0.000	0.767	2.300	0.683	2.060	0
4	rxn00209;rxn01252;rxn16648;rxn38693	0.000	0.000	0.703	1.690	1.281	3.010	0
6	rxn00208;rxn01251;rxn30055;rxn30747;rxn31960;rxn35556	0.000	0.000	0.236	0.500	0.255	0.540	0
5	rxn00205;rxn16407;rxn27891;rxn33345;rxn33349	0.000	0.000	0.044	0.110	0.108	0.270	0
4	rxn00203;rxn02274;rxn11855;rxn24434	0.000	0.000	0.735	1.750	1.109	2.470	0
4	rxn00272;rxn27694;rxn27695;rxn32557	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00199;rxn25050;rxn25051	0.000	0.000	0.000	0.000	0.000	0.000	0
14	rxn00198;rxn00505;rxn15022;rxn15023;rxn15056;rxn15057;rxn19942;rxn19943	0.000	0.000	0.148	0.300	0.283	0.590	0
7	rxn00197;rxn01207;rxn01418;rxn08094;rxn17745;rxn27534;rxn33618	0.000	0.000	0.848	2.240	1.120	3.050	0
9	rxn00191;rxn00849;rxn27697;rxn27698;rxn27773;rxn27774;rxn31211;rxn38028	0.000	0.000	0.066	0.140	0.019	0.040	0
2	rxn00190;rxn33083	0.000	0.000	0.000	0.000	0.000	0.000	0
36	rxn00189;rxn00200;rxn00254;rxn00342;rxn00794;rxn01153;rxn01408;rxn01630	0.000	0.000	1.061	4.240	1.117	4.650	0
7	rxn00187;rxn00339;rxn19835;rxn19836;rxn30022;rxn34791;rxn34792	0.000	0.000	0.416	1.190	0.402	1.150	0
2	rxn00186;rxn30590	0.000	0.000	0.000	0.000	0.000	0.000	0
8	rxn00185;rxn00210;rxn00310;rxn00450;rxn01778;rxn02091;rxn05110;rxn38887	0.000	0.000	0.951	2.510	1.399	3.570	0
36	rxn00183;rxn00196;rxn00508;rxn00509;rxn01247;rxn01459;rxn01729;rxn01851	0.000	0.000	0.913	2.660	0.629	3.030	0
2	rxn00202;rxn30154	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00269;rxn38888	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00268;rxn30314	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00264;rxn20161	0.000	0.000	0.000	0.000	0.000	0.000	0
7	rxn00262;rxn00263;rxn19368;rxn30304;rxn30722;rxn32053;rxn34557	0.000	0.000	0.565	1.250	0.723	1.600	0
6	rxn00260;rxn01435;rxn02912;rxn27719;rxn27720;rxn30355	0.000	0.000	1.204	2.560	0.712	1.510	0
3	rxn00257;rxn33091;rxn33092	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00253;rxn04011;rxn16527	0.000	0.000	0.000	0.000	0.062	0.140	0
4	rxn00252;rxn32297;rxn32299;rxn32303	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00250;rxn28116	0.000	0.000	0.000	0.000	0.000	0.000	0
8	rxn00248;rxn00249;rxn20068;rxn20158;rxn23652;rxn27976;rxn31213;rxn34245	0.000	0.000	0.000	0.000	0.281	0.580	0
3	rxn00219;rxn15027;rxn15028	0.000	0.000	0.189	0.400	0.000	0.000	0
2	rxn00245;rxn15040	0.000	0.000	0.000	0.000	0.775	1.550	0
8	rxn00243;rxn00292;rxn14144;rxn15038;rxn15039;rxn15770;rxn16675;rxn40065	0.000	0.000	0.311	1.000	1.578	4.030	0
2	rxn00242;rxn33062	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00235;rxn15036;rxn15037	0.000	0.000	0.189	0.400	0.000	0.000	0
2	rxn00231;rxn30303	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00227;rxn32635;rxn34196	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00226;rxn31212;rxn32413	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn00225;rxn27661;rxn27662;rxn34299	0.000	0.000	0.000	0.000	0.000	0.000	0
32	rxn00223;rxn00558;rxn00559;rxn00636;rxn01080;rxn02318;rxn02380;rxn15035	0.000	0.000	0.431	1.870	2.860	11.920	0
8	rxn00221;rxn07489;rxn08571;rxn15030;rxn15095;rxn29957;rxn31053;rxn33628	0.000	0.000	0.417	1.040	3.089	7.180	0
2	rxn00247;rxn35519	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn01633;rxn16048;rxn18934	0.000	0.000	0.547	1.160	0.231	0.490	0
2	rxn01626;rxn31924	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn01620;rxn01621;rxn31851	0.000	0.000	0.000	0.000	1.480	3.140	0
7	rxn01618;rxn01831;rxn01835;rxn04937;rxn15341;rxn15660;rxn33207	0.000	0.000	0.673	1.490	0.410	1.490	0
8	rxn01615;rxn01617;rxn01879;rxn02209;rxn15317;rxn15345;rxn15346;rxn32665	0.000	0.000	1.002	2.830	0.719	2.550	0
6	rxn01614;rxn01713;rxn02078;rxn07406;rxn12175;rxn14079	0.000	0.000	0.647	1.470	0.846	2.290	0
3	rxn01612;rxn33332;rxn33342	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn01603;rxn19488	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn01601;rxn01602	0.000	0.000	0.005	0.010	0.290	0.580	0
19	rxn00817;rxn00818;rxn00977;rxn02596;rxn15139;rxn15140;rxn15141;rxn15179	0.000	0.000	22.165	101.470	1.351	4.830	0
8	rxn01588;rxn07273;rxn07280;rxn14322;rxn26973;rxn33350;rxn33351;rxn33357	0.000	0.000	0.132	0.400	2.932	9.730	0
10	rxn01583;rxn01900;rxn01901;rxn02039;rxn02069;rxn02070;rxn14099;rxn14291	0.000	0.000	0.215	0.800	3.347	9.240	0
3	rxn01581;rxn09188;rxn32048	0.000	0.000	3.380	7.170	1.805	3.830	0
3	rxn01580;rxn20015;rxn20016	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn01577;rxn27521	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn01575;rxn19240;rxn27737;rxn38053	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn01573;rxn30549	0.000	0.000	0.000	0.000	0.000	0.000	0
7	rxn01568;rxn03202;rxn04494;rxn04502;rxn04549;rxn04550;rxn14030	0.000	0.000	0.184	0.530	4.534	15.120	0
2	rxn01566;rxn01850	0.000	0.000	0.000	0.000	0.355	0.710	0
2	rxn01559;rxn28308	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn01598;rxn01856	0.000	0.000	0.545	1.090	0.000	0.000	0
4	rxn01728;rxn15331;rxn15332;rxn39340	0.000	0.000	0.277	0.640	0.000	0.000	0
4	rxn01727;rxn15329;rxn15330;rxn39339	0.000	0.000	0.273	0.630	0.000	0.000	0
6	rxn01726;rxn15327;rxn15328;rxn19259;rxn19260;rxn39338	0.000	0.000	0.239	0.640	0.000	0.000	0
2	rxn01722;rxn01723	0.000	0.000	0.000	0.000	0.290	0.580	0
3	rxn01709;rxn15324;rxn15325	0.000	0.000	0.636	1.350	0.000	0.000	0
2	rxn01702;rxn02184	0.000	0.000	1.445	2.890	0.000	0.000	0
2	rxn01701;rxn11892	0.000	0.000	1.440	2.880	0.000	0.000	0
2	rxn01696;rxn02448	0.000	0.000	0.340	0.680	0.595	1.190	0
2	rxn01687;rxn15320	0.000	0.000	0.200	0.400	0.000	0.000	0
5	rxn01640;rxn02282;rxn32108;rxn32110;rxn32111	0.000	0.000	0.000	0.000	2.324	5.810	0
5	rxn01685;rxn02049;rxn15373;rxn19025;rxn39370	0.000	0.000	0.196	0.400	1.262	3.540	0
3	rxn01682;rxn28615;rxn33281	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn01661;rxn16735	0.000	0.000	0.000	0.000	0.120	0.240	0
2	rxn01658;rxn16418	0.000	0.000	0.000	0.000	0.125	0.250	0
3	rxn01653;rxn18967;rxn32228	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn01652;rxn24149	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn01649;rxn33382	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn01646;rxn01647	0.000	0.000	2.460	4.920	0.630	1.260	0
2	rxn01644;rxn19487	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn01643;rxn27723	0.000	0.000	0.000	0.000	0.000	0.000	0
6	rxn01686;rxn02112;rxn21328;rxn21329;rxn35561;rxn39373	0.000	0.000	0.275	0.800	1.883	4.840	0
4	rxn01460;rxn32416;rxn32417;rxn32419	0.000	0.000	0.888	2.050	5.482	12.660	0
2	rxn01458;rxn15294	0.000	0.000	0.045	0.090	0.000	0.000	0
2	rxn01457;rxn15293	0.000	0.000	0.045	0.090	0.000	0.000	0
7	rxn01456;rxn15291;rxn16284;rxn16285;rxn32867;rxn32893;rxn32896	0.000	0.000	0.072	0.260	1.269	2.810	0
2	rxn01454;rxn30395	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn01448;rxn01449	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn01446;rxn01985;rxn40100	0.000	0.000	0.621	1.480	2.654	5.890	0
2	rxn01441;rxn15286	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn01440;rxn15285;rxn31797;rxn31799	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn01558;rxn33019	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn01430;rxn15282;rxn15283;rxn39415	0.000	0.000	0.133	0.320	0.312	0.720	0
12	rxn01429;rxn01743;rxn05136;rxn31990;rxn31996;rxn32778;rxn32780;rxn32781	0.000	0.000	1.980	4.210	0.971	2.060	0
3	rxn01425;rxn01570;rxn01815	0.000	0.000	0.592	1.290	0.008	0.020	0
2	rxn01421;rxn01422	0.000	0.000	0.000	0.000	0.290	0.580	0
2	rxn01420;rxn30207	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn01419;rxn30153;rxn39886;rxn39887	0.000	0.000	0.670	1.340	0.070	0.140	0
6	rxn01414;rxn01865;rxn14039;rxn16235;rxn25971;rxn40238	0.000	0.000	20.106	54.660	0.423	1.040	0
2	rxn01409;rxn02681	0.000	0.000	0.475	0.950	0.000	0.000	0
4	rxn01407;rxn01725;rxn15326;rxn39337	0.000	0.000	0.277	0.640	0.823	1.900	0
5	rxn01406;rxn02061;rxn12049;rxn22960;rxn28988	0.000	0.000	0.151	0.380	0.114	0.290	0
2	rxn01434;rxn27717	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn01556;rxn02136;rxn02713;rxn12092;rxn16522	0.000	0.000	15.415	38.590	1.346	3.640	0
21	rxn01550;rxn01564;rxn01715;rxn01903;rxn02081;rxn02993;rxn03195;rxn03342	0.000	0.000	0.033	0.090	4.649	11.110	0
3	rxn01545;rxn15307;rxn32246	0.000	0.000	1.706	3.620	0.000	0.000	0
2	rxn01537;rxn32104	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn01531;rxn04766;rxn11895;rxn31763;rxn31765	0.000	0.000	0.232	0.580	0.000	0.000	0
17	rxn01530;rxn02337;rxn02557;rxn07872;rxn11890;rxn11891;rxn11893;rxn11894	0.000	0.000	1.426	4.730	0.609	2.020	0
5	rxn01529;rxn07875;rxn11896;rxn33367;rxn33370	0.000	0.000	0.232	0.580	0.820	2.050	0
