n	rxns	sd_gc	range_gc	sd_eq	range_eq	sd_dgp	range_dgp	empty_dsig
2	rxn04303;rxn15868	0.000	0.000	0.000	0.000	0.820	1.640	0
2	rxn04301;rxn16662	0.000	0.000	0.000	0.000	0.390	0.780	0
2	rxn04281;rxn04282	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn04270;rxn04271;rxn16625	0.000	0.000	0.000	0.000	0.913	2.070	0
4	rxn04264;rxn16222;rxn16226;rxn16230	0.000	0.000	0.000	0.000	0.316	0.830	0
2	rxn04177;rxn39684	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn04257;rxn04259	0.000	0.000	0.000	0.000	1.310	2.620	0
2	rxn04254;rxn04255	0.000	0.000	0.000	0.000	1.305	2.610	0
2	rxn04252;rxn04253	0.000	0.000	0.000	0.000	0.000	0.000	0
8	rxn04242;rxn04243;rxn04244;rxn04245;rxn04248;rxn04249;rxn04250;rxn04251	0.000	0.000	0.000	0.000	0.415	0.830	0
3	rxn04240;rxn04241;rxn39693	0.000	0.000	0.000	0.000	0.387	0.820	0
2	rxn04235;rxn07101	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn04227;rxn04228;rxn04229;rxn15974;rxn15978	0.000	0.000	0.000	0.000	37.872	94.680	0
2	rxn04180;rxn05018	0.000	0.000	0.000	0.000	0.590	1.180	0
2	rxn04178;rxn39685	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn04260;rxn04261	0.000	0.000	0.000	0.000	0.125	0.250	0
2	rxn03908;rxn27525	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03899;rxn39508	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn03897;rxn03898;rxn04969	0.000	0.000	0.005	0.010	1.381	3.180	0
13	rxn03893;rxn03894;rxn04578;rxn05032;rxn05034;rxn15910;rxn17640;rxn18965	0.000	0.000	3.601	13.750	1.892	4.490	0
2	rxn03111;rxn03274	0.000	0.000	0.000	0.000	0.165	0.330	0
