assembly_accession,current_accession,organism_name,tax_id,assembly_name,status,superkingdom,kingdom,phylum,class,order,family,genus,species
GCF_000252995.1,GCF_000252995.1,Salmonella bongori NCTC 12419,218493,ASM25299v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella bongori
GCF_000253015.1,GCF_000253015.1,Bartonella clarridgeiae 73,696125,ASM25301v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,Bartonella clarridgeiae
GCF_000253035.1,GCF_000253035.1,Parachlamydia acanthamoebae UV-7,765952,ASM25303v1,resolved,Bacteria,Pseudomonadati,Chlamydiota,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Parachlamydia,Parachlamydia acanthamoebae
GCF_000253055.1,GCF_000253055.1,Thermoproteus tenax Kra 1,768679,ASM25305v1,resolved,Archaea,Thermoproteati,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus tenax
GCF_000253075.1,GCF_000253075.1,Mycoplasma mycoides subsp. capri LC str. 95010,862259,ASM25307v1,resolved,Bacteria,Bacillati,Mycoplasmatota,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma mycoides
GCF_000253135.1,GCF_000253135.1,Staphylococcus aureus subsp. aureus ECT-R 2,889933,ASM25313v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
GCF_000253155.1,GCF_000253155.1,Streptococcus oralis Uo5,927666,ASM25315v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis
GCF_000253175.1,GCF_000253175.1,Yersinia enterocolitica subsp. palearctica Y11,930944,ASM25317v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia enterocolitica
GCF_000253195.1,GCF_000253195.1,Clostridium botulinum H04402 065,941968,ASM25319v1,resolved,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium botulinum
GCF_000253215.1,GCF_000253215.1,Neisseria meningitidis WUE 2594,942513,ASM25321v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria meningitidis
GCF_000253255.1,GCF_000253255.1,Novosphingobium sp. PP1Y,702113,ASM25325v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp. PP1Y
GCF_000253275.1,GCF_000253275.1,Flavobacterium branchiophilum FL-15,1034807,ASM25327v1,resolved,Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium branchiophilum
GCF_000253295.1,GCF_000253295.1,Hyphomicrobium sp. MC1,717785,ASM25329v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium sp. MC1
GCF_000253315.1,GCF_000253315.1,Streptococcus salivarius JIM8777,347253,ASM25331v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius
GCF_000253335.1,GCF_000253335.1,Streptococcus salivarius CCHSS3,1048332,ASM25333v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius
GCF_000253355.1,GCF_000253355.1,Mycobacterium tuberculosis variant africanum GM041182,572418,ASM25335v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis
GCF_000253375.1,GCF_000253375.1,Mycobacterium canetti CIPT 140010059,1048245,ASM25337v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium canetti
GCF_000253395.1,GCF_000253395.1,Streptococcus thermophilus JIM 8232,1051074,ASM25339v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus
GCF_000255115.2,GCF_000255115.2,Desulfosporosinus acidiphilus SJ4,646529,ASM25511v3,resolved,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfosporosinus,Desulfosporosinus acidiphilus
GCF_000255135.1,GCF_000255135.1,Marinitoga piezophila KA3,443254,ASM25513v1,resolved,Bacteria,Thermotogati,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,Marinitoga piezophila
GCF_000255155.1,GCF_000255155.1,Corynebacterium diphtheriae HC02,698968,ASM25515v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae
GCF_000255175.1,GCF_000255175.1,Corynebacterium diphtheriae C7 (beta),698963,ASM25517v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae
GCF_000255195.1,GCF_000255195.1,Corynebacterium diphtheriae HC04,698970,ASM25519v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae
GCF_000255215.1,GCF_000255215.1,Corynebacterium diphtheriae CDCE 8392,698965,ASM25521v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae
GCF_000255235.1,GCF_000255235.1,Corynebacterium diphtheriae HC01,698967,ASM25523v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae
GCF_000255255.1,GCF_000255255.1,Corynebacterium diphtheriae VA01,698971,ASM25525v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae
