rxn_id	Beber_2022	ln_RI
rxn00819	=	-5.169
rxn00821	=	5.734
rxn00822	=	2.400
rxn00824	=	-0.575
rxn00826	=	3.018
rxn00827	<	45.798
rxn00829	>	-9.144
rxn00830	=	-1.955
rxn00831	=	-6.061
rxn00832	<	7.906
rxn00833	>	-7.080
rxn00834	=	3.325
rxn00835	=	-4.890
rxn00836	=	6.169
rxn00837	>	-38.973
rxn00838	=	-0.077
rxn00839	=	0.482
rxn00840	=	4.569
rxn00841	=	-4.599
rxn00842	=	-4.043
rxn00843	>	-57.685
rxn00844	>	-57.686
rxn00845	=	-5.529
rxn00846	<	43.084
rxn00847	>	-7.113
rxn00848	=	-0.292
rxn00849	=	0.153
rxn00850	=	-1.676
rxn00851	=	-3.762
rxn00852	>	-17.602
rxn00853	>	-16.505
rxn00854	=	0.904
rxn00855	=	-5.294
rxn00856	=	0.817
rxn00857	>	-6.953
rxn00858	>	-20.370
rxn00859	=	-2.315
rxn00860	=	-4.598
rxn00861	=	-6.384
rxn00862	=	-2.550
rxn00863	>	-7.342
rxn00864	=	-6.206
rxn00865	=	-3.807
rxn00866	>	-11.593
rxn00867	=	-2.686
rxn00868	<	10.218
rxn00869	=	1.064
rxn00870	=	1.064
rxn00871	=	4.509
rxn00872	<	7.089
rxn00873	=	-0.518
rxn00874	=	6.141
rxn00875	=	-0.878
rxn00876	<	7.746
rxn00877	=	-1.130
rxn00878	=	-1.364
rxn00879	=	-1.125
rxn00880	>	-103.772
rxn00881	>	-10.763
rxn00882	>	-10.763
rxn00883	>	-10.763
rxn00884	=	5.377
rxn00885	=	5.377
rxn00886	=	5.377
rxn00887	=	5.377
rxn00888	=	-4.253
rxn00889	>	-76.291
rxn00890	=	-5.414
rxn00891	>	-7.169
rxn00892	=	-2.441
rxn00893	>	-8.437
rxn00894	>	-34.546
rxn00895	=	-5.132
rxn00896	=	-3.553
rxn00897	=	1.503
rxn00898	>	-14.906
rxn00899	=	-3.002
rxn00900	=	-2.797
rxn00901	=	2.910
rxn00902	=	5.344
rxn00903	=	0.348
rxn00904	=	0.316
rxn00905	=	0.528
rxn00906	=	1.319
rxn00907	=	1.320
rxn00908	=	0.559
rxn00909	=	-5.039
rxn00910	<	8.168
rxn00911	=	0.729
rxn00912	=	1.271
rxn00913	=	-6.667
rxn00914	=	-4.436
rxn00915	=	6.495
rxn00916	>	-42.804
rxn00917	>	-40.317
rxn00918	>	-18.607
rxn00919	>	-14.784
rxn00920	>	-14.540
rxn00921	=	-6.687
