rxn_id,operator,dg,dge
rxn00704,=,-2.72,0.31
rxn00706,>,1.32,0.8
rxn00707,=,-3.69,0.76
rxn00708,>,-2.05,1.01
rxn00709,=,-4.11,1.01
rxn00710,>,-6.26,2.08
rxn00711,<,3.32,1.06
rxn00712,=,-3.43,1.18
rxn00713,=,-3.5,1.06
rxn00714,>,-8.33,1.46
rxn00715,=,-4.97,1.07
rxn00716,>,-4.97,0.94
rxn00717,>,-7.27,0.59
rxn00718,>,-31.11,1.35
rxn00719,=,0.61,0.92
rxn00720,=,0.61,0.92
rxn00721,=,194.76,23900.57
rxn00722,>,-110.93,1.05
rxn00723,=,-2.62,0.35
rxn00724,>,-107.59,1.89
rxn00725,=,0.55,23900.57
rxn00726,>,-21.94,1.79
rxn00727,>,-24.76,1.8
rxn00728,>,-12.1,0.51
rxn00729,=,-7.42,1.34
rxn00730,>,-3.96,0.81
rxn00731,>,-2.66,0.8
rxn00732,>,-35.36,1.3
rxn00734,>,-54.26,1.22
rxn00735,<,0.8,1.14
rxn00736,<,5.24,1.17
rxn00737,>,-5.92,1.01
rxn00738,=,9.9,1.88
rxn00740,>,-14.01,1.14
rxn00741,=,4.44,0.41
rxn00742,>,0.54,1.48
rxn00743,>,-2.99,0.53
rxn00744,=,-3.17,0.53
rxn00745,>,-9.7,0.54
rxn00746,=,6.69,0.44
rxn00747,=,-1.31,0.13
rxn00748,>,-14.0,0.46
rxn00749,>,-27.07,1.53
rxn00750,<,82.33,2.67
rxn00751,=,-3.99,0.12
rxn00752,>,-27.58,1.05
rxn00753,>,-2.31,0.24
rxn00754,=,-4.99,0.25
rxn00758,=,-60.66,16900.26
rxn00759,=,10.18,0.58
rxn00760,=,-10.18,0.58
rxn00761,>,-104.4,1.64
rxn00762,=,5.73,0.44
rxn00763,=,9.31,0.49
rxn00764,=,5.73,0.45
rxn00765,=,9.31,0.49
rxn00766,>,-6.09,0.58
rxn00767,=,-0.88,0.51
rxn00768,>,-8.29,0.52
rxn00769,>,-9.24,0.51
rxn00770,=,0.19,0.49
rxn00771,=,-2.17,0.33
rxn00772,=,-6.42,0.49
rxn00773,=,-0.25,0.79
rxn00774,=,-7.7,0.44
rxn00775,>,-5.49,0.8
rxn00776,=,-8.05,0.6
rxn00777,=,1.04,0.4
rxn00778,=,-3.38,0.48
rxn00779,=,-9.33,0.13
rxn00780,=,-5.44,0.35
rxn00781,=,1.25,0.1
rxn00782,=,1.25,0.13
rxn00783,=,3.32,0.71
rxn00784,=,0.15,0.59
rxn00785,=,1.6,0.57
rxn00786,=,5.12,0.13
rxn00787,=,4.8,0.55
rxn00790,<,12.98,0.65
rxn00791,<,13.69,0.86
rxn00792,=,278.68,23900.57
rxn00794,>,-2.84,0.54
rxn00795,=,1.07,0.53
rxn00796,=,-93.67,28222.58
rxn00797,=,-2.99,0.53
rxn00798,=,0.65,0.2
rxn00799,=,0.82,0.07
rxn00800,=,2.8,0.34
rxn00801,>,-10.11,0.84
rxn00802,=,-2.64,1.18
rxn00803,=,-1.53,0.77
rxn00804,=,8.78,0.39
rxn00805,>,-3.66,0.85
rxn00806,=,0.07,0.38
rxn00807,=,1.68,0.71
rxn00808,=,-1.3,0.32
rxn00809,<,27.91,0.52
rxn00810,=,-2.07,0.44
rxn00811,<,27.91,0.52
rxn00812,=,-3.22,0.51
rxn00813,=,-2.06,0.45
rxn00814,>,-39.05,1.1
rxn00816,<,97.86,0.39
rxn00817,<,97.9,0.54
rxn00818,=,-1.16,1.02
rxn00819,=,-2.16,0.66
rxn00822,=,4.18,2.07
rxn00824,=,-0.13,0.71
rxn00826,=,5.25,1.61
rxn00827,=,55.69,16900.26
rxn00829,>,-7.82,0.97
rxn00830,=,-1.17,0.71
rxn00831,=,-1.29,0.45
rxn00832,<,4.15,1.31
rxn00833,=,-2.51,0.57
rxn00834,=,4.75,0.95
rxn00835,=,-4.87,0.46
rxn00836,<,6.11,0.38
rxn00837,=,-60.78,16170.4
rxn00838,>,2.34,0.52
rxn00839,=,0.74,0.35
rxn00840,=,5.79,0.37
rxn00841,=,-4.75,0.36
rxn00842,=,-3.55,0.23
rxn00843,>,-90.39,1.25
rxn00844,>,-90.39,1.25
rxn00845,=,0.17,0.95
rxn00846,=,42.7,16900.26
rxn00847,=,-7.56,1.69
rxn00848,=,-0.43,0.54
rxn00849,=,0.21,0.52
rxn00850,=,-1.52,0.88
rxn00851,>,-6.08,1.02
rxn00852,>,-22.19,1.11
rxn00853,>,-12.69,1.11
rxn00854,=,1.93,23900.57
rxn00855,>,-4.8,0.43
rxn00856,=,0.82,0.47
rxn00857,=,-2.51,0.44
rxn00858,>,-13.43,1.51
rxn00859,=,-1.52,0.54
rxn00861,>,-7.01,0.53
rxn00862,=,-3.56,0.39
rxn00863,=,-6.36,0.47
rxn00864,>,-9.6,1.46
rxn00865,=,1.17,1.45
rxn00866,>,-6.96,0.87
rxn00867,>,1.12,0.25
rxn00868,=,13.11,0.64
rxn00869,=,-1.93,0.69
rxn00870,=,-1.93,0.69
rxn00871,=,5.21,0.43
rxn00872,=,9.5,0.95
rxn00873,=,-0.07,0.8
rxn00874,=,7.4,0.46
rxn00875,=,-1.06,0.79
rxn00876,<,7.94,0.59
rxn00877,=,-0.53,0.22
rxn00878,=,-0.99,0.34
rxn00879,=,-0.61,0.4
rxn00880,>,-95.68,1.96
rxn00881,>,-5.17,0.34
rxn00882,>,-5.17,0.34
rxn00883,>,-5.17,0.34
rxn00884,=,7.17,23900.57
rxn00885,=,7.17,23900.57
rxn00886,=,7.17,23900.57
rxn00887,=,7.17,23900.57
rxn00888,=,-4.53,0.61
rxn00889,=,-62.83,16900.26
rxn00890,=,-2.38,0.49
rxn00891,=,-2.14,0.6
rxn00892,=,-2.34,0.63
rxn00893,=,-8.11,0.46
rxn00894,>,-39.83,1.11
rxn00895,>,-5.17,0.59
rxn00896,=,-3.59,0.68
rxn00898,>,-8.44,0.34
rxn00899,=,-5.64,0.81
rxn00900,>,-0.07,1.22
rxn00901,=,9.23,0.84
rxn00902,<,5.96,0.32
rxn00903,=,0.51,0.84
rxn00904,=,0.44,0.85
rxn00905,=,4.5,1.22
