rxn_id,operator,dg,dge
rxn00633,=,-3.33,0.03
rxn00634,>,-12.26,0.25
rxn00635,=,-3.43,0.02
rxn00636,=,-0.78,0.03
rxn00638,=,0.45,0.25
rxn00639,>,-7.3,0.03
rxn00640,=,1.51,0.03
rxn00641,=,-1.07,0.03
rxn00642,>,-9.64,0.24
rxn00643,=,0.42,0.03
rxn00644,=,-0.99,0.06
rxn00645,>,-56.97,0.41
rxn00646,>,-8.73,0.45
rxn00647,=,-3.57,0.25
rxn00649,>,-12.06,0.05
rxn00650,=,1.32,0.32
rxn00651,<,49.29,0.5
rxn00652,=,-3.16,0.26
rxn00653,=,-5.47,0.23
rxn00654,=,-5.11,0.29
rxn00655,=,10.29,0.34
rxn00656,=,0.94,0.03
rxn00657,=,-0.78,0.03
rxn00658,=,-5.67,0.31
rxn00659,>,-5.14,0.41
rxn00660,=,-1.26,0.41
rxn00661,>,-5.12,0.41
rxn00662,=,-6.39,0.29
rxn00663,=,-6.39,0.29
rxn00668,<,10.6,0.45
rxn00669,=,3.43,0.03
rxn00670,=,4.84,0.18
rxn00671,=,-9.18,0.22
rxn00672,>,-4.61,0.13
rxn00673,=,6.76,0.45
rxn00674,=,1.5,0.03
rxn00675,>,-17.51,0.29
rxn00676,=,2.61,0.18
rxn00677,=,2.58,0.03
rxn00678,=,-0.58,0.13
rxn00679,<,10.44,0.19
rxn00680,<,10.43,0.22
rxn00681,<,10.43,0.22
rxn00682,=,-4.44,0.27
rxn00684,=,7.11,0.03
rxn00685,=,7.11,0.03
rxn00686,=,6.53,0.03
rxn00687,=,6.53,0.03
rxn00688,>,-8.53,0.04
rxn00689,>,-13.52,0.83
rxn00690,=,-1.33,0.03
rxn00691,=,-5.06,0.03
rxn00692,=,1.7,0.03
rxn00693,=,-9.07,0.34
rxn00695,=,-0.36,0.02
rxn00696,=,-4.56,0.02
rxn00697,>,-7.97,0.02
rxn00698,=,1.61,0.03
rxn00699,=,0.64,0.03
rxn00700,=,0.51,0.03
rxn00701,=,-2.39,0.22
rxn00702,=,-0.38,0.02
rxn00703,>,-5.12,0.03
rxn00704,=,0.89,0.14
rxn00705,=,2.18,0.25
rxn00706,>,-5.75,0.02
rxn00707,=,-3.42,0.02
rxn00708,>,-2.81,0.02
rxn00709,=,-3.59,0.02
rxn00710,=,1.17,0.4
rxn00711,<,3.14,0.03
rxn00712,=,-3.37,0.02
rxn00713,=,-3.6,0.02
rxn00714,>,-8.15,0.03
rxn00715,=,-3.59,0.02
rxn00716,=,-1.76,0.38
rxn00717,>,-13.74,0.51
rxn00718,>,-14.36,0.5
rxn00719,<,17.84,0.5
rxn00720,<,17.26,0.5
rxn00721,<,70.27,0.49
rxn00722,>,-80.31,0.35
rxn00723,=,-0.01,0.43
rxn00724,>,-156.35,0.55
rxn00725,>,-10.77,0.76
rxn00726,>,-12.9,0.62
rxn00727,>,-15.68,0.62
rxn00728,>,-9.39,0.37
rxn00729,=,0.86,0.35
rxn00730,>,-12.26,0.39
rxn00731,>,-4.33,0.37
rxn00735,<,2.28,0.2
rxn00736,<,8.31,0.21
rxn00737,>,-6.45,0.04
rxn00738,=,6.77,0.29
rxn00739,<,5.11,0.17
rxn00740,>,-16.75,0.22
rxn00741,=,4.58,0.03
rxn00742,>,1.63,0.32
rxn00743,>,-3.91,0.02
rxn00744,=,-2.48,0.02
rxn00745,>,-9.06,0.03
rxn00746,=,4.64,0.03
rxn00747,=,-1.83,0.02
rxn00748,>,-16.98,0.19
rxn00749,<,19.54,0.98
rxn00750,<,19.54,0.98
rxn00751,=,-4.38,0.02
rxn00752,>,-27.16,0.2
rxn00753,>,-2.32,0.03
rxn00754,=,-4.92,0.03
rxn00758,=,-6.54,0.32
rxn00759,>,-6.54,0.32
rxn00760,=,-6.54,0.32
rxn00761,>,-6.54,0.32
rxn00762,=,6.15,0.03
rxn00763,=,8.94,0.03
rxn00764,=,5.57,0.03
rxn00765,=,8.36,0.03
rxn00766,=,-0.62,0.2
rxn00767,=,1.78,0.15
rxn00768,>,-9.34,0.13
rxn00769,>,-9.0,0.15
rxn00770,=,-0.54,0.03
rxn00771,=,-0.06,0.03
rxn00772,=,-3.43,0.02
rxn00773,=,7.24,0.25
rxn00774,=,1.67,0.32
rxn00775,>,-12.99,0.25
rxn00776,=,-5.84,0.44
rxn00777,=,0.25,0.03
rxn00778,=,-1.97,0.03
rxn00779,=,-9.57,0.02
rxn00780,=,-3.45,0.02
rxn00781,=,1.85,0.02
rxn00782,=,1.27,0.02
rxn00783,=,3.13,0.03
rxn00784,=,4.97,0.03
rxn00785,=,2.8,0.03
rxn00786,=,5.31,0.02
rxn00787,=,2.01,0.13
rxn00789,<,42.6,0.59
rxn00790,<,2.49,0.32
rxn00791,<,22.8,0.43
rxn00792,<,13.82,0.32
rxn00793,=,-0.97,0.02
rxn00794,>,-2.77,0.03
rxn00795,=,1.62,0.63
rxn00796,=,1.62,0.63
rxn00797,=,-4.81,0.03
rxn00798,=,0.86,0.03
rxn00799,=,0.82,0.02
rxn00800,=,1.93,0.03
rxn00801,=,-4.35,0.42
rxn00802,=,3.01,0.03
rxn00803,=,-1.2,0.04
rxn00804,=,8.92,0.03
rxn00805,>,-3.68,0.26
rxn00806,=,-0.3,0.03
rxn00807,=,-2.82,0.2
rxn00808,=,-5.74,0.33
rxn00809,=,-5.74,0.33
rxn00810,=,-3.48,0.03
rxn00811,=,-3.48,0.03
rxn00812,=,-0.79,0.03
rxn00813,=,-4.06,0.03
rxn00814,>,-39.93,0.16
rxn00815,>,-26.16,0.22
rxn00816,=,-2.88,0.03
rxn00817,=,-2.17,0.03
rxn00818,=,-1.34,0.03
rxn00819,=,1.05,0.37
rxn00820,=,1.05,0.37
rxn00821,=,-12.23,0.75
rxn00822,=,1.26,0.03
rxn00824,=,0.15,0.03
rxn00826,=,5.68,0.06
rxn00827,=,11.35,0.39
rxn00829,>,-19.44,0.67
rxn00830,=,-1.18,0.03
rxn00831,>,-2.96,0.02
rxn00832,>,-18.93,0.66
rxn00833,=,-2.38,0.03
rxn00834,=,1.4,0.44
rxn00835,=,-3.43,0.02
rxn00836,<,5.41,0.03
rxn00837,=,1.48,0.47
rxn00838,>,0.75,0.03
rxn00839,=,0.0,0.02
rxn00840,=,6.57,0.02
rxn00841,=,-3.43,0.02
rxn00842,=,-3.43,0.02
rxn00843,>,-91.22,0.05
rxn00844,>,-90.64,0.05
rxn00845,=,11.12,0.32
rxn00846,>,-9.96,0.53
rxn00847,>,-9.96,0.53
rxn00848,=,-0.47,0.04
rxn00849,=,0.2,0.03
rxn00850,=,-1.94,0.21
rxn00851,>,-1.45,0.38
rxn00852,>,-20.94,0.04
rxn00853,>,-6.16,0.05
rxn00854,=,6.63,0.76
rxn00855,>,-0.69,0.25
rxn00856,=,2.04,0.03
rxn00857,=,-6.55,0.25
rxn00858,=,-6.86,0.06
rxn00859,=,1.38,0.27
rxn00860,=,1.68,0.87
rxn00861,>,-2.22,0.32
rxn00862,=,-1.42,0.26
rxn00863,=,-2.28,0.28
rxn00864,>,-4.75,0.43
rxn00865,=,-1.64,0.43
rxn00866,>,-8.69,0.28
rxn00867,>,1.19,0.03
rxn00868,=,12.57,0.04
rxn00869,<,2.04,0.03
rxn00870,=,1.46,0.03
rxn00871,=,2.13,0.21
rxn00872,=,8.14,0.04
rxn00873,=,-0.98,0.02
rxn00874,=,2.55,0.19
rxn00875,=,-0.11,0.02
rxn00876,<,7.4,0.25
rxn00877,=,0.43,0.23
rxn00878,=,2.63,0.51
rxn00879,=,12.62,0.48
rxn00880,>,-92.67,0.5
rxn00881,>,-9.02,0.51
